i,time_mean,time_std,length_mean,length_std
1,0.00255384,0.00248392,1038.47,17.5259
2,0.00239448,0.00171863,1004.53,24.4015
3,0.00264849,0.00182332,645.358,6.78081
4,0.00131972,0.000222211,718.116,8.67248
5,0.00233928,0.00310862,829.202,11.0035
6,0.00134118,0.000385972,326.425,2.16157
7,0.00316113,0.0011795,1219.34,49.073
8,0.0014127,0.000930014,192.38,1.8903
9,0.0062004,0.00978516,1804.15,55.3458
10,0.00112345,0.000329467,283.105,1.49868
11,0.000870795,0.00043269,117.509,1.87765
12,0.00126421,0.000958559,260.351,6.07262
13,0.00203306,0.00148194,769.915,12.1124
14,0.000702408,0.00052565,191.943,0
15,0.00105998,0.000673679,196.367,1.14363
16,0.00177011,0.000703657,820.06,15.7024
17,0.00205705,0.00142298,362.969,7.36319
18,0.000995685,0.000882532,98.5984,0.829027
19,0.00266064,0.00117533,1028.05,22.6009
20,0.00199476,0.000990117,1151.32,139.244
21,0.0015682,0.000585576,708.706,11.5875
22,0.00263992,0.000866455,1577.23,29.5147
23,0.00131169,0.000368025,397.431,3.92524
24,0.00214679,0.00124927,885.728,21.2139
25,0.00199026,0.000793579,953.79,15.1943
26,0.00160697,0.000868951,810.893,11.9859
27,0.00154697,0.000502847,1301.04,20.0471
28,0.00277533,0.00150399,1104.43,21.2298
29,0.00231537,0.00127714,614.717,5.95609
30,0.00209195,0.00107577,793.121,8.26895
31,0.00125041,0.000190312,337.277,3.3929
32,0.00159757,0.000626159,967.416,5.72497
33,0.00270904,0.00225739,739.052,60.1654
34,0.00136787,0.000638669,250.01,1.76055
35,0.00170927,0.000793821,1058.78,20.6827
36,0.00124179,0.000356385,607.368,4.63891
37,0.00197177,0.00148607,532.904,10.2516
38,0.00229887,0.00089502,1137.63,22.3826
39,0.00247619,0.00135428,928.936,14.5741
40,0.00107912,0.000245501,167.672,2.84217e-13
41,0.000919193,0.0004522,52.2015,2.13163e-14
42,0.00179987,0.000725896,864.337,6.09772
43,0.00267834,0.000847748,1983.82,73.2223
44,0.00268369,0.00122521,1455.93,9.04624
45,0.00262157,0.00137426,1442.16,22.631
46,0.00144965,0.000330537,449.654,5.67664
47,0.00183396,0.000786546,1157.1,28.0321
48,0.00183681,0.000648531,1318.49,26.4102
49,0.00174308,0.00101974,428.51,57.3809
50,0.00251654,0.00158606,1032.63,20.6213
51,0.00215843,0.000915124,1031.84,24.4244
52,0.0013176,0.000462816,186.823,3.611
53,0.00132339,0.000366626,466.161,2.77239
54,0.00191922,0.00109691,836.616,8.60139
55,0.0029505,0.00135402,1052.85,14.5979
56,0.00205051,0.0011528,1010.93,17.4359
57,0.0012646,0.000186572,694.814,9.91976
58,0.00232406,0.00136619,727.333,6.69007
59,0.000928687,0.000481568,199.912,0.543376
60,0.00200113,0.000783229,1629.14,30.8148
61,0.00243353,0.0010211,2023.28,68.1631
62,0.00240414,0.00125078,741.812,13.2607
63,0.0021142,0.00135955,648.463,13.0013
64,0.00285428,0.0010096,1634.22,49.3827
65,0.00277425,0.00114647,1496.98,31.2035
66,0.00265704,0.00100365,1315.69,65.8433
67,0.0013297,0.000296586,456.966,3.74702
68,0.00444555,0.004096,1474.8,109.82
69,0.00063207,0.000538015,32.3883,1.42109e-14
70,0.00246998,0.00128401,1191.73,170.617
71,0.00134363,0.000274138,506.629,3.56151
72,0.00194325,0.00119586,1359.05,43.5448
73,0.00121687,0.000215528,449.853,3.01245
74,0.00244441,0.00135725,1414.25,36.8051
75,0.00163156,0.000780525,277.524,2.44972
76,0.00356137,0.00225978,1543.37,27.6374
77,0.00170469,0.00180181,220.259,1.08581
78,0.00133323,0.000423114,874.905,14.8423
79,0.00114434,0.000166148,284.711,5.55841
80,0.0014211,0.000402664,554.908,6.92987
81,0.000661075,0.000538825,103.668,0.258439
82,0.00132599,0.00100827,196.156,1.37069
83,0.00172394,0.000947892,411.372,5.95802
84,0.00199804,0.00100396,667.781,5.28171
85,0.00160476,0.000889147,666.498,8.60258
86,0.00274517,0.00131488,911.249,13.5258
87,0.000820064,0.000511421,235.33,1.75994
88,0.000734118,0.000503855,66.7083,1.42109e-13
89,0.00136049,0.000288583,793.491,21.0257
90,0.00219208,0.00127817,1346.91,29.2171
91,0.00174006,0.000641412,575.472,5.50435
92,0.000967361,0.000510604,144.364,1.20237
93,0.00242093,0.00104178,1332.14,27.3647
94,0.00169337,0.000731904,539.365,10.9304
95,0.00179975,0.00104659,480.828,4.85889
96,0.00217091,0.00144597,764.511,26.5881
97,0.00272199,0.00145264,1269.28,23.4003
98,0.0038442,0.00110088,2281.96,80.6206
99,0.00141932,0.000577508,328.041,2.35481
100,0.00154264,0.000650189,931.448,15.9918
