i,time_mean,time_std,length_mean,length_std
1,0.0125969,0.0131027,1027.53,10.4173
2,0.0789361,0.109684,1008.27,23.805
3,0.211556,0.240073,645.404,2.86614
4,0.00549153,0.00524165,718.246,7.84063
5,0.0145266,0.0134345,824.888,13.6846
6,0.00134473,0.000389676,326.022,2.76312
7,0.0643578,0.0636129,1197.82,23.4483
8,0.00139856,0.000765036,191.974,1.43729
9,0.315339,0.300461,1817.22,54.6358
10,0.00118435,0.000178059,283.007,2.19436
11,0.00111525,0.000297826,117.142,0.780422
12,0.00314693,0.00433623,259.159,0.950719
13,0.118113,0.130619,770.173,9.29063
14,0.000912974,0.000474041,191.943,0
15,0.00132568,0.000458877,196.122,0.127254
16,0.005438,0.00451727,823.581,18.0027
17,0.107186,0.19558,360.043,2.53064
18,0.00107563,0.000410263,98.3877,0.11561
19,0.150039,0.217114,1037.7,52.6745
20,0.00674116,0.00445341,1130.39,22.7798
21,0.00347911,0.00504333,705.536,8.19434
22,0.0575924,0.0718621,1582.74,33.3979
23,0.0029066,0.00218889,397.535,2.52308
24,0.0209331,0.0283282,894.365,15.2453
25,0.0513019,0.0539314,944.634,12.6585
26,0.00557926,0.00348912,811.985,13.197
27,0.0062955,0.00449641,1319.16,29.2073
28,0.0289911,0.0398623,1094.38,19.4666
29,0.0054283,0.00557023,618.316,0.986072
30,0.0065868,0.0043781,789.837,6.7935
31,0.00195667,0.00103001,337.444,1.58608
32,0.0174015,0.0194018,974.686,10.341
33,0.00467614,0.00444881,749.947,8.22409
34,0.0057096,0.00663533,250.799,1.99438
35,0.0283991,0.0348614,1057.77,9.23854
36,0.00194382,0.000907772,607.815,3.64098
37,0.154682,0.193318,531.819,9.51576
38,0.0226665,0.0261173,1145.9,25.7214
39,0.162759,0.220197,928.384,8.47356
40,0.000929111,0.000423154,167.672,2.84217e-13
41,0.00100879,0.000312621,52.2015,2.13163e-14
42,0.00965558,0.0107908,867.32,6.53881
43,0.0260889,0.0205349,1990.65,62.2572
44,0.364164,0.308833,1472.57,28.8444
45,0.110355,0.125171,1450.6,12.1937
46,0.00204127,0.00115878,448.581,3.95344
47,0.00557427,0.00371557,1155.06,20.9639
48,0.0436053,0.0549914,1332.36,23.5231
49,0.0184833,0.0257379,440.532,4.03691
50,0.0369223,0.0448914,1029.15,11.196
51,0.0251169,0.0224555,1023.66,20.9049
52,0.00137088,0.000283244,186.638,5.48956
53,0.00365137,0.00324059,466.343,5.27105
54,0.0679313,0.121702,834.964,9.49651
55,0.192357,0.185534,1057.94,17.8144
56,0.0291754,0.035915,1004.85,8.97201
57,0.00288311,0.00275917,690.787,5.54675
58,0.0250163,0.0268694,731.097,5.45381
59,0.00104174,0.000495228,199.944,0.883762
60,0.0186952,0.0138884,1613.47,27.4481
61,0.246833,0.235621,2046.98,64.9061
62,0.015431,0.0208288,740.849,8.8077
63,0.106924,0.180628,651.376,7.59701
64,0.462156,0.333408,1655.08,49.6611
65,0.53854,0.366569,1517.9,22.9449
66,0.0538996,0.0667319,1221.71,223.548
67,0.00142365,0.000388586,457.124,3.66602
68,0.0512912,0.0464889,1433.69,26.8784
69,0.00086186,0.000477703,32.3883,1.42109e-14
70,0.0934648,0.124479,1242.44,16.4916
71,0.00149206,0.000489178,506.538,2.76986
72,0.0165037,0.0105692,1355.43,31.9893
73,0.00121082,0.00015069,449.177,0.816145
74,0.0150379,0.0128782,1417.66,35.3078
75,0.013098,0.0127096,277.049,1.7881
76,0.409743,0.344651,1553.08,15.0716
77,0.00501422,0.00595618,220.433,1.64274
78,0.00888738,0.011084,873.31,7.41776
79,0.00159588,0.000522018,288.539,26.7779
80,0.00384638,0.0031227,554.882,3.88085
81,0.000988227,0.000391556,103.993,1.22916
82,0.011246,0.0183103,196.352,1.78623
83,0.00861607,0.00929492,409.906,0.407768
84,0.0184435,0.0189637,667.12,5.63322
85,0.0121299,0.0171563,665.734,3.12897
86,0.431763,0.376923,907.967,6.04825
87,0.00110179,0.00025964,235.389,2.32818
88,0.000991547,0.000337496,66.7083,1.42109e-13
89,0.00575337,0.00334522,794.751,26.9865
90,0.0410368,0.0517186,1350.61,19.0241
91,0.00739471,0.00840633,568.26,5.23274
92,0.00141465,0.000883281,144.161,0.995564
93,0.0231156,0.0252309,1322.67,22.4841
94,0.00589014,0.00815914,535.268,9.70409
95,0.00274817,0.00198326,479.273,3.54818
96,0.00811344,0.00634888,763.537,14.6377
97,0.308978,0.306849,1254.61,11.9156
98,0.402339,0.340747,2272.77,85.3886
99,0.00282763,0.00207212,327.982,0.678561
100,0.00706398,0.00572526,931.253,10.0801
