i,time_mean,time_std,length_mean,length_std
1,0.00144619,0.000506274,1023.28,6.10168
2,0.00187637,0.000912694,1008.51,14.4842
3,0.00178603,0.000828054,654.26,65.1572
4,0.0019643,0.00100707,720.286,7.22679
5,0.00162685,0.000690987,830.877,8.54123
6,0.00123393,0.000333181,325.647,2.64156
7,0.00573155,0.00196638,1205.03,19.63
8,0.00106684,0.000306571,193.235,4.0153
9,0.0042417,0.00209657,1422.85,423.391
10,0.00112441,4.65613e-05,283.19,5.34208
11,0.00109989,1.86068e-05,117.377,2.51471
12,0.00110165,2.50895e-05,259.206,0.862193
13,0.00205322,0.00103137,768.35,6.78736
14,0.000974001,0.000343806,191.943,0
15,0.00111284,0.000108612,196.513,1.22009
16,0.00277761,0.00185069,817.566,4.88601
17,0.00120659,0.000300809,362.562,5.3094
18,0.00106819,0.000169185,98.5094,0.5415
19,0.00373675,0.00166045,1033.93,18.7614
20,0.00523632,0.00204711,1129.43,22.1254
21,0.00148083,0.000657929,707.25,5.99742
22,0.00460497,0.00193689,1574.12,18.6563
23,0.00111432,0.000183228,400.695,8.00664
24,0.00305242,0.00186011,891.01,18.6448
25,0.00330942,0.0013471,948.195,13.8515
26,0.00413136,0.00154048,811.914,11.822
27,0.00334464,0.00155694,1307.49,29.5208
28,0.0026524,0.00110478,1102.55,16.3652
29,0.0012449,0.000576485,612.293,3.60493
30,0.00198527,0.00103027,795.171,7.22136
31,0.00115453,0.00021292,336.801,2.39812
32,0.00136313,0.000620727,959.874,8.20016
33,0.00172022,0.000845497,743.614,9.66231
34,0.00125857,0.000457877,250.759,6.25539
35,0.00276869,0.00115148,1053.1,14.8742
36,0.00151866,0.000643188,607.498,2.32893
37,0.00152409,0.000484214,530.224,6.63849
38,0.00312827,0.00155064,1131.99,12.2971
39,0.00318756,0.00135071,925.878,15.1209
40,0.000733241,0.000483411,167.672,2.84217e-13
41,0.00104084,0.000276731,52.2015,2.13163e-14
42,0.00183073,0.00086827,867.344,10.8282
43,0.00786195,0.00316413,1973.48,47.7843
44,0.00292779,0.00157258,1462.67,20.9042
45,0.00240425,0.00102645,1442.86,26.6944
46,0.00121024,0.00028645,448.042,3.35733
47,0.00403313,0.00204287,1154.04,14.5684
48,0.00402896,0.00185776,1321.92,23.2908
49,0.00122385,0.000245662,440.49,3.5652
50,0.00311191,0.00126489,1026.56,10.6867
51,0.00429246,0.00191019,1021.26,15.8725
52,0.001138,0.000230113,186.398,1.56069
53,0.00193605,0.000854796,466.665,11.462
54,0.0022103,0.00123546,837.353,11.5367
55,0.0035297,0.00177017,1062.43,12.3191
56,0.00144736,0.000586273,1022.73,26.0539
57,0.00133383,0.000464051,693.677,7.04044
58,0.00145424,0.000489027,731.146,6.38715
59,0.00105271,0.00025767,199.926,0.633585
60,0.00713943,0.00289099,1636.04,53.4079
61,0.00704066,0.00240011,2049.38,52.5158
62,0.00285981,0.00130506,745.365,9.82074
63,0.00144286,0.000452887,642.391,8.94173
64,0.00711716,0.00281795,1637.72,37.0718
65,0.00323047,0.00183429,1495.04,15.3679
66,0.00644807,0.0026472,1285.85,30.1261
67,0.00106086,0.000392082,457.224,7.3401
68,0.00561816,0.00201678,1441.81,23.6142
69,0.00106977,0.000244029,32.3883,1.42109e-14
70,0.00375838,0.00174526,1245.82,19.5752
71,0.00127145,0.000632933,510.36,7.03853
72,0.00396469,0.00160647,1336.14,29.0893
73,0.00110183,0.000151554,449.798,2.03537
74,0.00382983,0.00193677,1406.66,25.7973
75,0.00112401,0.000255195,277.526,2.60962
76,0.00243061,0.000958941,1546.45,20.5478
77,0.00108647,0.000101903,220.398,0.957524
78,0.00210727,0.00103971,872.942,12.8877
79,0.00115023,0.000184085,284.317,1.9506
80,0.00246303,0.00130199,557.682,5.03946
81,0.000902442,0.000414987,103.916,1.01085
82,0.00102885,0.000329415,196.445,1.00409
83,0.00113911,0.000366958,409.83,2.82196
84,0.00229573,0.00113511,665.201,2.27793
85,0.00167842,0.000841969,666.333,6.24758
86,0.00360503,0.0015904,919.655,85.2321
87,0.00106202,0.000248056,235.678,1.93645
88,0.000933542,0.000391714,66.7083,1.42109e-13
89,0.00418176,0.00196092,795.8,19.5554
90,0.00287122,0.00155081,1341.69,14.0463
91,0.00257313,0.00121625,568.563,3.42409
92,0.00107328,0.000315655,144.264,1.96653
93,0.00276639,0.00155823,1323.94,22.7457
94,0.00156695,0.000730229,532.288,9.46479
95,0.00121959,0.00039543,482.905,5.16724
96,0.00263675,0.00125364,759.254,11.5839
97,0.00301137,0.00164275,1258.6,21.8096
98,0.0118838,0.0038601,2262.65,71.4411
99,0.00121214,0.000406297,327.977,0.323218
100,0.00199004,0.000843264,935.547,11.8279
