i,time_mean,time_std,length_mean,length_std
1,0.000551138,0.000114468,1030.62,0.104815
2,0.000903048,9.62761e-05,982.809,0.0610476
3,0.00040892,0.000113249,652.881,3.15709
4,0.000807313,0.00022768,712.274,3.33171
5,0.00143418,0.000371202,802.68,0.240608
6,0.000857724,0.000245315,324.621,0.767249
7,0.0015012,8.0324e-05,1196.31,0.00491333
8,4.40481e-05,5.42133e-06,185.632,0.614456
9,0.00311192,0.000826055,1775.54,7.47851
10,0.000311014,9.33896e-05,258.543,3.06656
11,4.21476e-05,1.43283e-05,107.892,1.01907
12,0.000155565,1.08804e-05,248.103,0.743144
13,0.000579467,1.84813e-05,765.114,1.00968
14,4.38098e-05,1.41301e-05,155.734,1.52588e-05
15,7.57523e-05,1.44075e-05,183.563,0.607789
16,0.00209497,0.000280818,819.142,1.10842
17,0.000135993,2.98336e-05,368.269,1.87401
18,3.83009e-05,1.09955e-05,88.0369,0.721436
19,0.0011846,0.000195314,1026.59,1.96994
20,0.00206302,0.000331678,1111.31,1.09664
21,0.000212678,6.24787e-05,680.836,0.715943
22,0.00228153,6.4859e-05,1492.58,1.47653
23,0.00014086,3.2539e-05,361.314,2.30278
24,0.000597462,7.64475e-05,882.445,0.80503
25,0.00127125,9.83778e-05,941.303,4.65872
26,0.00135995,0.000443997,817.636,5.02213
27,0.00308359,0.00032496,1232.7,1.46911
28,0.00146792,6.02313e-05,1089.33,2.79442
29,0.000121656,6.1068e-05,601.113,0.50684
30,0.000439887,0.000161522,794.235,3.97507
31,8.80486e-05,9.64213e-06,343.593,3.66175
32,0.000453861,0.000145721,969.099,8.47219
33,0.000769766,0.000175234,750.755,1.46954
34,0.000203814,1.65967e-05,251.155,0.304003
35,0.00299038,0.000301023,1058.19,1.3801
36,0.0002666,1.59641e-05,607.748,0.570222
37,0.000388914,2.57798e-05,511.395,0.952722
38,0.00212369,5.21675e-05,1113.84,2.7042
39,0.00271306,0.000963607,914.831,0.359888
40,2.71658e-05,5.52431e-06,139.62,3.05176e-05
41,2.10387e-05,2.15418e-06,43.6857,7.62939e-06
42,0.000829661,0.000746724,863.202,0.062272
43,0.0102206,0.00158308,1864.1,0.334227
44,0.00105185,0.000144241,1462.89,0.551926
45,0.000818608,0.000295977,1438.18,7.51617
46,0.000151485,2.02181e-05,440.836,0.420188
47,0.00132896,0.000190232,1143.35,0.675707
48,0.00528866,0.00169146,1297.24,1.3159
49,0.000480564,0.000267565,412.857,2.53569
50,0.00361204,0.00129336,1007.55,1.39823
51,0.0023051,0.00021816,1019.55,2.21073
52,7.93199e-05,1.0399e-05,177.79,1.29586
53,0.000949428,0.000220645,453.494,0.267828
54,0.000970462,0.000219027,827.289,0.0230918
55,0.00174677,0.000354031,1050.85,0.940723
56,0.000880781,6.10609e-05,972.178,1.01785
57,0.000377215,0.000163479,640.692,2.46974
58,0.000356826,5.10086e-05,702.112,1.45593
59,4.10105e-05,5.87831e-06,171.242,0.125141
60,0.00315448,0.000295381,1602.65,2.49924
61,0.00470284,0.000566395,1978.39,2.73662
62,0.00134451,0.000235336,729.635,3.64991
63,0.000431015,0.000143296,644.634,1.70203
64,0.00280848,0.00157017,1611.54,1.75276
65,0.00217802,0.000507639,1474.29,1.06918
66,0.00548004,0.000471912,1252.52,0.401075
67,0.000214483,7.5657e-05,417.623,2.35831
68,0.00670983,0.00104963,1422.04,0.122883
69,1.45841e-05,2.00621e-06,28.2843,1.90735e-05
70,0.00214399,6.53514e-05,1214.18,1.72803
71,0.000101142,1.90261e-05,484.046,3.22937
72,0.00244611,5.96512e-05,1309.12,7.80015
73,8.47545e-05,1.24836e-05,411.515,1.74559
74,0.00186601,0.00014371,1418.36,7.49169
75,8.03115e-05,1.10708e-05,276.069,0.620202
76,0.00169336,0.000607012,1482.95,1.54626
77,9.98691e-05,2.66994e-05,195.71,3.29927
78,0.000719457,2.83885e-05,867.052,0.488082
79,0.00013244,5.24654e-05,283.175,0.980259
80,0.00129574,0.000860461,544.434,2.66696
81,3.1153e-05,3.00304e-06,95.1967,0.975467
82,4.70149e-05,8.17029e-06,183.318,0.922937
83,0.000172015,4.25481e-05,397.436,0.792236
84,0.000249333,2.76391e-05,674.325,0.0174088
85,0.000524637,2.63916e-05,662.268,1.74648
86,0.000565669,2.11223e-05,908.231,1.8076
87,7.01918e-05,1.03887e-05,223.173,0.829926
88,2.2766e-05,1.97842e-06,56.0916,7.62939e-06
89,0.00107782,0.000199507,787.147,3.10797
90,0.00148943,9.34605e-05,1343.26,12.3961
91,0.000519484,0.000220271,573.029,1.66971
92,4.0758e-05,9.1738e-06,131.488,0.873649
93,0.00201706,0.000337735,1310.3,0.0834233
94,0.000544543,5.04224e-05,527.408,1.99896
95,0.00181202,0.000169313,467.211,3.59108
96,0.000666329,8.75919e-05,754.343,2.54164
97,0.00220525,0.000589226,1211.88,0.627245
98,0.00853282,0.000584497,2199.94,1.34123
99,0.000101249,2.03055e-05,313.715,2.1549
100,0.000440878,2.11326e-05,926.847,2.6114
