coverage,time_mean,time_std,length_mean,length_std
67,0.00256615,0.000909936,1806.39,71.9877
68,0.00243036,0.00104151,1697.55,18.4595
20,0.00113833,0.000120691,1494.33,37.264
67,0.00280717,0.000884164,1850.85,23.3495
55,0.00260017,0.000970187,1718.7,105.505
61,0.00195732,0.000879577,1666.57,59.2962
64,0.00396041,0.00161364,1832.04,29.0937
39,0.00199197,0.000665686,1744.69,44.5497
60,0.00418187,0.00199877,1858.21,65.1814
53,0.0030785,0.0010248,1751.75,34.6686
39,0.00185406,0.000891001,1571.99,54.0514
30,0.00191882,0.000737976,1635.21,15.8655
68,0.00658424,0.00374852,1844.68,12.1361
54,0.00204147,0.000638153,1684.16,57.2668
22,0.00122123,0.000103765,1450.04,42.6915
57,0.00234295,0.000804721,1837.93,84.0028
69,0.00905412,0.00584326,2045.45,215.155
24,0.00135831,0.00028926,1490.71,103.849
32,0.00155458,0.000498678,1629.69,36.6419
69,0.00619423,0.00347239,1733.7,181.683
51,0.00165441,0.000553205,1577.47,28.3285
34,0.00179188,0.000674973,1703.59,120.446
40,0.00126009,0.000276274,1490.54,26.8135
20,0.00149435,0.000559885,1507.2,82.5134
67,0.00197691,0.000994797,1820.24,24.0067
66,0.00249839,0.000879153,1863.67,72.2433
46,0.00134577,0.00034247,1575.35,93.6431
58,0.00254279,0.00115105,1709.81,40.3419
34,0.00116417,9.96764e-05,1643.72,74.0771
58,0.00313426,0.00113041,1822.83,6.42058
42,0.00179026,0.000700167,1812.64,37.9529
63,0.00346911,0.00133501,1564.91,58.5821
59,0.00384682,0.00150617,1791.06,21.1784
32,0.00120814,0.000214624,1583.95,27.4332
65,0.00346174,0.00179436,1825.61,14.4593
44,0.00186247,0.000728529,1551.2,74.7711
38,0.0015443,0.000554614,1570.31,128.992
46,0.00239498,0.00131764,1723.35,32.1799
61,0.00216259,0.00081759,1813.6,10.2772
40,0.00148532,0.000510231,1407.79,20.737
25,0.00206624,0.000707018,1493.73,49.3515
21,0.00119444,6.42613e-05,1457.05,29.2765
57,0.00322037,0.00183142,1803.7,48.4967
67,0.00174897,0.000587436,1748.24,92.3504
50,0.00172884,0.000618242,1710.68,127.445
61,0.00168844,0.000657349,1784.2,20.1576
47,0.00192001,0.000882667,1738.2,60.8478
50,0.00153497,0.00055118,1784.54,103.21
44,0.00259408,0.000834658,1598.62,83.1748
60,0.00246723,0.000999494,1665.34,158.499
56,0.00246588,0.000928733,1734.65,77.9321
56,0.00296203,0.00130407,1817.24,77.0151
30,0.00184286,0.00100972,1498.02,41.2033
37,0.00122091,0.000178115,1556.17,16.951
50,0.00153167,0.000545603,1704.82,7.11852
28,0.0011686,0.000253336,1624.63,36.3263
37,0.00170481,0.000615655,1624.79,70.8304
42,0.00238704,0.000715396,1740.31,77.6223
20,0.00132948,9.73058e-05,1544.17,56.034
66,0.00341152,0.00166835,1777.59,17.8774
34,0.00157563,0.000543229,1618.44,24.6169
54,0.00333208,0.00127115,1802.97,42.1476
68,0.00849539,0.00718118,1934.84,41.446
69,0.00307724,0.00129285,1849.76,158.206
69,0.00265011,0.000947732,1860.44,60.1877
64,0.00258807,0.00100147,1849.68,36.4335
60,0.00334308,0.00122749,1864.79,44.4721
42,0.00142677,0.000353887,1499.58,34.0278
21,0.001252,0.000172236,1417.37,63.4993
50,0.00211718,0.000856733,1742.96,85.4057
61,0.00189905,0.000868834,1731.97,58.4417
60,0.00283052,0.00168621,1593.51,140.558
24,0.00134072,0.000284897,1530.39,13.6828
63,0.00256966,0.00102871,1790.6,130.42
43,0.00198683,0.000785548,1574.57,106.115
57,0.00352017,0.00162622,1680.35,165.387
34,0.00176446,0.000617958,1755.28,2.94363
43,0.00133763,0.000372321,1785.43,15.8618
25,0.00150008,0.000522337,1504.89,64.3093
46,0.00179296,0.000643295,1617.67,25.5895
62,0.00627151,0.00317848,1994.93,171.469
34,0.00148655,0.000500141,1528.38,87.7256
49,0.00370442,0.00180665,1728.91,55.736
34,0.00171645,0.00064946,1623.77,102.424
34,0.0014511,0.000501138,1505.69,98.2105
45,0.00136738,0.000502461,1702.58,63.3601
46,0.00236525,0.000954968,1747.67,20.4463
30,0.00121406,0.000313986,1533.78,88.6207
51,0.00196052,0.000791242,1742.69,64.0836
62,0.00249984,0.000984462,1730.37,24.8577
