coverage,time_mean,time_std,length_mean,length_std
67,0.00562161,0.00541971,1905.2,77.7812
68,0.00191339,0.00110263,1675.05,54.8007
20,0.00108958,0.000316968,1435.24,31.9505
67,0.00311592,0.0019656,1843.23,61.5208
55,0.00214949,0.00428817,1651.86,13.1219
61,0.00115708,0.000186262,1647.54,12.4113
64,0.00300155,0.00277553,1571.04,69.0619
39,0.00112083,3.87199e-05,1494.37,24.8665
60,0.00210298,0.00134266,1530.37,121.578
53,0.00153802,0.000561034,1750.61,67.0805
39,0.00116482,0.000212958,1541.58,100.525
30,0.00115034,0.000196431,1474.95,28.0155
68,0.00817836,0.00719909,1816.31,77.3301
54,0.00143748,0.000395564,1660.91,67.2537
22,0.00114939,0.000308911,1417.13,24.0825
57,0.00145761,0.000498404,1671.42,30.0098
69,0.00438502,0.00342938,1786.91,79.7967
24,0.00110526,0.000263362,1417.16,3.04335
32,0.00112039,0.000247379,1467.02,39.7798
69,0.00483347,0.00389657,1589.7,63.3271
51,0.00116698,0.00020887,1589.83,46.1617
34,0.00110338,1.62476e-05,1662.81,18.781
40,0.00110468,0.000107472,1481.43,13.7579
20,0.0011723,0.000170427,1493,27.6836
67,0.00152444,0.000896686,1683.59,71.5006
66,0.00219416,0.00126683,1816.39,96.7432
46,0.00123172,0.000248686,1514.46,18.1554
58,0.00157313,0.000581251,1530.34,70.2789
34,0.00163738,0.00158745,1581.27,46.7298
58,0.0035577,0.00251952,1797.28,57.5668
42,0.00115283,6.30701e-05,1578.03,69.7287
63,0.00451997,0.00464774,1559.16,46.4809
59,0.00230691,0.0011822,1711.42,87.2736
32,0.00119048,0.00013712,1488.43,57.4214
65,0.00259566,0.00148122,1745.66,30.199
44,0.00129872,0.000197398,1479.25,50.4721
38,0.00123169,0.000174375,1536.05,64.6134
46,0.0011292,0.00011244,1508.01,39.7716
61,0.00133268,0.000485308,1690.29,114.454
40,0.00114659,7.33672e-05,1427.19,21.2991
25,0.00110497,2.24025e-05,1484.58,13.8803
21,0.000946518,0.000387602,1415.04,18.1858
57,0.00136813,0.000453168,1751.42,12.6621
67,0.00200743,0.000878085,1739.47,46.8497
50,0.00128496,0.000213538,1682.04,57.7797
61,0.00124506,0.0003168,1778.32,22.2978
47,0.00119411,0.000250433,1538.24,77.6648
50,0.00114826,6.53078e-05,1592.29,90.8595
44,0.00114711,0.000295344,1563,64.4178
60,0.00144262,0.000455863,1595.61,70.336
56,0.00147743,0.000573793,1626.68,113.962
56,0.0016225,0.000735059,1735.02,46.1035
30,0.00112582,6.98359e-05,1554.2,104.804
37,0.00110628,0.000109734,1570.54,34.6761
50,0.00114822,0.000160373,1624.46,88.7875
28,0.00109351,0.000259851,1466.95,33.1798
37,0.00114673,0.000164401,1604.07,34.3714
42,0.0011863,0.00023407,1652.47,20.3097
20,0.00104077,0.000299853,1479.94,19.465
66,0.00182077,0.00118407,1681.59,105.567
34,0.00129759,0.000139696,1519.43,108.414
54,0.00272012,0.00239673,1604.51,42.6312
68,0.00501993,0.00400135,1876.99,57.2893
69,0.00293725,0.00172602,1550.81,44.4611
69,0.00157329,0.000573418,1684.52,278.78
64,0.00266505,0.00213111,1830.13,7.6829
60,0.00171988,0.000709407,1749.83,94.0611
42,0.00112962,4.67311e-05,1482.22,23.8404
21,0.00110519,2.57178e-05,1440.93,37.2124
50,0.00110365,1.47588e-05,1652.67,72.8055
61,0.00146138,0.000854515,1716.95,4.63787
60,0.00125572,0.000267127,1521.16,29.5926
24,0.00113474,0.000170666,1517.9,38.2065
63,0.00194761,0.000855947,1592.22,28.4373
43,0.0011242,0.00010906,1528.8,33.8485
57,0.00121221,0.000356897,1649.59,51.3698
34,0.00110853,3.03669e-05,1511.5,66.2243
43,0.00111262,0.000106029,1575.84,40.9991
25,0.00117234,0.000169266,1492.16,37.4286
46,0.0012305,0.000285927,1575.94,20.4515
62,0.00257893,0.00208149,1575.81,40.655
34,0.0011101,2.22063e-05,1492.44,36.6461
49,0.00408847,0.00394702,1654.28,126.301
34,0.0012809,0.000104995,1480.25,15.7168
34,0.00116561,8.54247e-05,1433.62,21.8498
45,0.00130426,0.00032681,1519.04,109.702
46,0.00128105,0.000357273,1681.3,124.887
30,0.00101798,0.000326211,1422.94,14.9923
51,0.0014772,0.000590948,1480.53,25.9101
62,0.00130927,0.000437835,1554.81,63.6141
