coverage,time_mean,time_std,length_mean,length_std
67,0.00896008,0.00582043,1519.73,9.91665
68,0.00466049,0.00367877,1608.78,28.0601
20,0.000844592,0.000248971,1430.86,27.853
67,0.00666899,0.00312928,1570.66,161.26
55,0.0178833,0.0212051,1696.62,26.2522
61,0.00263609,0.00158754,1575.8,21.5287
64,0.00681758,0.00539283,1554.3,39.707
39,0.00118784,0.000488752,1487.17,22.8042
60,0.00266262,0.00194182,1497.55,12.5767
53,0.00298011,0.00135113,1540.38,37.5877
39,0.00494787,0.00670849,1484.15,8.53986
30,0.00170675,0.00102367,1467.42,17.0634
68,0.0185399,0.0147251,1580.56,125.023
54,0.00248043,0.00105935,1263.45,61.6099
22,0.000883229,0.000317497,1424.4,45.7372
57,0.00178324,0.000843536,1497.59,75.8868
69,0.0137801,0.00906642,1853.24,52.0486
24,0.000868953,0.00031913,1488.64,99.536
32,0.0012727,0.000936165,1453.82,23.8702
69,0.00959062,0.00730933,1495.3,50.5165
51,0.00161582,0.000907913,1520.62,71.4749
34,0.00148926,0.000656295,1454.84,15.166
40,0.000986995,0.000327089,1469.83,29.0356
20,0.00093395,0.000287747,1448.34,20.7831
67,0.00436928,0.00423654,1568.29,13.4538
66,0.00535849,0.00292482,1599.71,28.962
46,0.00116797,0.000706721,1511.28,13.8382
58,0.00166931,0.000938936,1476.98,17.3643
34,0.00498335,0.00903212,1527.48,26.5244
58,0.00610217,0.00303053,1783.8,136.07
42,0.00177276,0.000731286,1519.53,23.487
63,0.0117533,0.0104876,1604.34,81.6379
59,0.00345821,0.00220572,1618.8,17.0443
32,0.000973083,0.000306545,1447.62,32.4875
65,0.00458155,0.00269003,1638.1,75.7984
44,0.00152139,0.000865078,1533.65,19.0672
38,0.00103593,0.000382261,1440.84,48.504
46,0.000907264,0.000331853,1500.12,19.3172
61,0.0029744,0.00138017,1655.26,147.372
40,0.000920286,0.000284548,1457.59,81.4149
25,0.000893134,0.000405422,1508.13,35.6261
21,0.000752954,0.000291795,1435.1,21.6495
57,0.00296339,0.00153463,1719.36,199.786
67,0.00224923,0.0010759,1656.95,14.1978
50,0.00207383,0.000905249,1474.59,62.0876
61,0.00258785,0.00122458,1518.22,63.3011
47,0.00164577,0.000978342,1495.93,27.8473
50,0.00152328,0.000672956,1499.07,21.7276
44,0.0024934,0.00351772,1454.01,4.71829
60,0.00158314,0.00106265,1505.15,15.3047
56,0.00331337,0.00186595,1529.16,72.3908
56,0.00387372,0.00206838,1727.61,17.5503
30,0.00113098,0.000404487,1451.32,24.1517
37,0.00114184,0.000379649,1564.34,53.46
50,0.00200737,0.00115764,1534.32,63.3348
28,0.000876538,0.000334934,1416,35.2784
37,0.00141915,0.000472263,1592.7,10.5587
42,0.00227653,0.0012745,1582.92,90.761
20,0.000910986,0.000324313,1427.61,14.6107
66,0.00359482,0.00346966,1607.86,73.585
34,0.00128946,0.000535074,1424.26,13.9685
54,0.00510456,0.00402396,1506.18,32.549
68,0.00948173,0.00528971,1743.9,31.3897
69,0.00369732,0.00240431,1538.24,13.5345
69,0.00366745,0.00198157,1580.97,50.5378
64,0.00495343,0.00372602,1502.71,42.8816
60,0.0035018,0.00153942,1551.89,75.9545
42,0.0018675,0.00138348,1474.96,13.2911
21,0.000956577,0.000316506,1415.2,29.749
50,0.00132857,0.000992193,1421.04,38.4695
61,0.00344901,0.00237606,1518.1,42.4587
60,0.00119863,0.000502805,1482.89,142.981
24,0.00100694,0.000402698,1461.53,7.6165
63,0.00451041,0.00220573,1554.25,74.8434
43,0.0021759,0.00110552,1529.5,10.7479
57,0.00197914,0.00151745,1573.5,26.799
34,0.00114312,0.000409478,1434.42,26.8283
43,0.00173176,0.00077723,1531.59,17.9806
25,0.000794309,0.00031312,1441.04,27.4571
46,0.00145123,0.000977567,1571.82,25.258
62,0.00663784,0.00507048,1554.09,27.0034
34,0.000837848,0.00027021,1414.06,23.1063
49,0.00954606,0.0116892,1527.82,22.202
34,0.000900486,0.000293051,1440.5,1.967
34,0.000866678,0.000321739,1409.78,11.6779
45,0.00194715,0.00106609,1483.13,30.4984
46,0.00188739,0.00100248,1536.23,36.9619
30,0.00076287,0.0002477,1416.57,11.9452
51,0.00179303,0.000962672,1472.56,40.0209
62,0.00183858,0.000781547,1530.12,4.60185
