coverage,time_mean,time_std,length_mean,length_std
67,0.0470362,0.0200244,1716.52,122.927
68,0.0262591,0.0155845,1675.75,19.6526
20,0.00168058,0.00060022,1469.32,40.5168
67,0.0216984,0.00739375,1938.54,176.627
55,0.0154625,0.00745415,1698.7,80.3345
61,0.0086867,0.00376024,1691.76,52.1734
64,0.0289857,0.0105071,1628.96,118.281
39,0.00658148,0.00300628,1470.94,8.33697
60,0.0221964,0.00952803,1865.03,103.34
53,0.0130733,0.00435078,1744.53,45.2298
39,0.00526932,0.00240376,1636.68,36.6542
30,0.00421146,0.0018506,1480.75,36.8299
68,0.0461843,0.0204907,1857.76,65.3287
54,0.0121852,0.0041237,1541.2,16.0831
22,0.0018405,0.000675424,1409.91,33.6541
57,0.0112275,0.00423481,1601.6,110.701
69,0.0471306,0.0358992,1826.49,144.979
24,0.00208432,0.000777037,1427.44,32.5276
32,0.00382706,0.00177593,1500.26,43.9253
69,0.0617842,0.022714,1679.76,146.8
51,0.00960387,0.00369118,1575.05,51.6346
34,0.00574131,0.00218758,1554.8,63.1206
40,0.00496507,0.00206548,1517.17,59.5493
20,0.00203996,0.000756837,1491.9,22.8843
67,0.0180232,0.00757314,1807.83,83.0488
66,0.0297229,0.0121507,1808.1,138.959
46,0.00561089,0.00229089,1577.13,97.4408
58,0.0169127,0.00631446,1550.54,28.2819
34,0.00417631,0.00188583,1683.2,92.4201
58,0.0284452,0.0104074,1826.54,29.6838
42,0.00641224,0.00266761,1643.47,149.781
63,0.048933,0.0226875,1757.44,109.831
59,0.0237169,0.00813113,1706.93,76.9915
32,0.00331676,0.00127423,1509.4,74.0156
65,0.0264464,0.00905293,1788.06,108.437
44,0.0108756,0.00414759,1773.59,131.8
38,0.00753664,0.00317525,1584.83,79.4251
46,0.00774428,0.00306818,1604.45,35.7276
61,0.0177222,0.0079599,1771.94,67.3203
40,0.00384053,0.00155899,1471.39,4.16277
25,0.00265766,0.00111507,1533.45,18.9821
21,0.00147917,0.000557673,1454.95,19.1099
57,0.0203123,0.00829235,1921.52,168.864
67,0.0248684,0.00882674,1780.03,97.5941
50,0.0102092,0.00343592,1683.99,77.0009
61,0.016009,0.00715649,1777.17,46.6372
47,0.0108414,0.00460403,1623.6,112.336
50,0.0076883,0.00272049,1666.72,138.633
44,0.00468968,0.0020374,1462.23,46.1024
60,0.0113318,0.00432232,1625.05,137.259
56,0.0219071,0.00897009,1996.23,79.2551
56,0.0148849,0.0049027,1822.77,45.1367
30,0.00388888,0.00149525,1519.17,59.6039
37,0.0031681,0.00131504,1554.53,16.5849
50,0.00858319,0.00324621,1631.84,54.8918
28,0.00274869,0.0010811,1508.75,60.289
37,0.00543785,0.00196129,1652.04,26.4561
42,0.00994823,0.00385266,1723.65,255.526
20,0.00216717,0.0007849,1514.83,31.1343
66,0.0212453,0.00736663,2027.86,151.672
34,0.00682507,0.00278307,1631.17,34.1247
54,0.0228443,0.00816163,1783.18,239.351
68,0.0360726,0.0154741,1809.51,76.9326
69,0.0361975,0.0139354,1612.57,140.876
69,0.0210702,0.00973141,1806.73,128.98
64,0.0376237,0.0149848,1604.79,161.259
60,0.0222468,0.00660895,1810.38,46.2681
42,0.00362472,0.0016059,1479.27,34.2984
21,0.00183405,0.000631488,1431.1,77.9148
50,0.0114862,0.00499266,1507.41,50.1185
61,0.0192649,0.00889303,1730.12,29.4387
60,0.013095,0.0063089,1483.46,48.8597
24,0.00253339,0.000854958,1530.63,39.5104
63,0.0236236,0.00909067,1916.55,101.359
43,0.00720581,0.00342571,1548.17,54.1207
57,0.00854273,0.00384083,1554.24,43.85
34,0.00571473,0.00183471,1614.29,77.8197
43,0.00852263,0.00327943,1791.34,85.0062
25,0.0024311,0.000950174,1512.35,65.4606
46,0.00802401,0.00387435,1602.7,41.9833
62,0.0252591,0.0139713,1643.84,102.179
34,0.00405795,0.0014406,1631.15,99.971
49,0.0235814,0.00971188,1689.46,87.3339
34,0.00478431,0.00194319,1765.89,234.291
34,0.00398464,0.00171085,1535.1,13.0505
45,0.0101619,0.00489358,1515.08,90.154
46,0.0110181,0.00419249,1809.31,176.553
30,0.00201365,0.000617654,1565.64,6.42682
51,0.0155882,0.00619166,1598.23,238.875
62,0.0151181,0.00723429,1551.99,31.3647
