coverage,time_mean,length_mean
67,0.00171824,1545.85
68,0.0057878,1587.75
20,0.000698175,1459.51
67,0.00798899,1680.95
55,0.108458,1872.25
61,0.00415062,1647.71
64,0.00304596,1600.66
39,0.00218959,1550.7
60,0.0034312,1527.7
53,0.00252885,1562.46
39,0.00324145,1592.53
30,0.00220174,1533.1
68,0.00910035,1759.39
54,0.00157099,1266.97
22,0.000449299,1471.89
57,0.000988389,1557.47
69,0.0246983,1939.03
24,0.0011591,1449.79
32,0.00054824,1512.58
69,0.0018235,1637.35
51,0.00146421,1556.96
34,0.000904028,1537.5
40,0.000742084,1512.09
20,0.000642864,1480.26
67,0.00605664,1609.93
66,0.109609,1718.87
46,0.0013977,1542
58,0.00120521,1548.77
34,0.00126148,1606.52
58,0.026686,1716.9
42,0.00236023,1531.28
63,0.00527235,1869.92
59,0.0168191,1657.35
32,0.000928937,1507.12
65,0.00507287,1739.42
44,0.00739885,1582.69
38,0.00102761,1498.53
46,0.000903896,1559.66
61,0.00319517,1609.07
40,0.000752822,1447.79
25,0.000620864,1527.82
21,0.000747716,1460.16
57,0.042126,1820.52
67,0.0139414,1684.03
50,0.00220923,1591.22
61,0.00240823,1617.99
47,0.0864909,1565.22
50,0.00178521,1545.25
44,0.000863484,1498.31
60,0.00357921,1527.7
56,0.00361292,1587.38
56,0.0399733,1685.67
30,0.00064985,1510.86
37,0.00384424,1509.15
50,0.001655,1621.4
28,0.00048253,1461.55
37,0.00326665,1645.3
42,0.00379998,1586.1
20,0.000713822,1492.98
66,0.00572549,1643.91
34,0.00121676,1538.77
54,0.00527564,1565.89
68,0.0306951,1807.92
69,0.00453394,1612.83
69,0.00590022,1675.34
64,0.0035001,1554.5
60,0.0127303,1669.83
42,0.00192862,1515.04
21,0.00057789,1458.15
50,0.00165367,1518.48
61,0.00119983,1540.88
60,0.00106141,1521.79
24,0.00322719,1527.05
63,0.0185804,1684.83
43,0.004916,1521.48
57,0.00443862,1596.69
34,0.000792211,1521.91
43,0.00213392,1597.94
25,0.000534846,1494.03
46,0.00193807,1577.41
62,0.0177987,1683.64
34,0.000997261,1520.68
49,0.0060653,1605.35
34,0.00191338,1482.61
34,0.000531121,1484.06
45,0.00135716,1535.99
46,0.00483875,1589.15
30,0.000477261,1433.79
51,0.00181698,1509.02
62,0.00142002,1565.19
