coverage,time_mean,time_std,length_mean,length_std
67,0.00521919,0.00294335,1519.27,14.2933
68,0.00274042,0.00212026,1616.58,48.8302
20,0.0012545,7.23637e-05,1432.43,18.4954
67,0.00372069,0.00130389,1788.9,51.9883
55,0.00968128,0.00967815,1687.04,80.8737
61,0.00181137,0.000907023,1595.61,89.3709
64,0.00403355,0.00203205,1556.69,31.7998
39,0.00112261,0.000149821,1507.24,70.5981
60,0.00190867,0.00137619,1539.27,67.981
53,0.00200495,0.00104347,1559.53,112.458
39,0.00224398,0.00164259,1508.57,37.053
30,0.00132158,0.000455261,1470.05,27.2726
68,0.00988789,0.00827068,1593.09,154.816
54,0.0017122,0.000608044,1255.82,99.4456
22,0.00114525,5.60972e-05,1444.12,24.2607
57,0.00131885,0.000441382,1603.57,109.406
69,0.00619871,0.00486932,1842.33,29.4125
24,0.00119715,0.000123179,1417.54,3.71735
32,0.00122347,0.000345271,1430.59,19.1944
69,0.00544375,0.0032128,1523.65,54.2847
51,0.00135313,0.000601736,1537.46,86.3935
34,0.0011895,0.000386323,1497.63,50.9045
40,0.00111816,3.61195e-05,1488.46,35.1508
20,0.00111925,0.000106809,1428.21,9.14212
67,0.00257984,0.00161329,1574.93,28.7932
66,0.00286281,0.00149922,1592.5,7.22418
46,0.00118587,0.000233415,1516.65,9.28804
58,0.00183288,0.00516928,1486.42,47.0227
34,0.00233524,0.00305163,1565.1,27.5532
58,0.00346194,0.00140555,1812.61,192.235
42,0.00136311,0.000376611,1536.27,42.5576
63,0.00828471,0.00890607,1563.97,38.4027
59,0.00193274,0.000913846,1655.96,39.7115
32,0.00116411,7.27868e-05,1417.1,28.565
65,0.00308562,0.00170661,1659.85,78.6902
44,0.00135352,0.000493777,1464.62,1.32532
38,0.00113926,0.000153342,1437.23,23.5204
46,0.00110939,2.32097e-05,1473.01,20.6612
61,0.00200088,0.00112081,1555.57,31.6253
40,0.001184,8.86958e-05,1403.07,16.9714
25,0.00113931,0.000154405,1459.03,24.0199
21,0.00115557,6.68273e-05,1423.1,18.9882
57,0.00216359,0.00110187,1653.77,72.2538
67,0.00164882,0.000880521,1659.12,13.3819
50,0.00150046,0.000656701,1472.67,57.786
61,0.00179136,0.000624826,1572.99,14.8936
47,0.00138847,0.000381355,1499.08,22.5663
50,0.00135899,0.000419734,1508.81,77.3721
44,0.00152381,0.00096649,1568.77,121.923
60,0.00147608,0.0005163,1505.42,20.5296
56,0.0022282,0.00129601,1518.67,31.5686
56,0.00237388,0.00104313,1689.12,28.9599
30,0.0011806,0.000128704,1439.65,21.0704
37,0.00112868,5.35864e-05,1533.75,33.1084
50,0.00133134,0.000428654,1683.22,208.024
28,0.0011652,7.76032e-05,1431.45,41.1877
37,0.00117863,0.000269425,1596.35,26.6682
42,0.00155856,0.000641553,1545.61,56.2573
20,0.00117208,8.15022e-05,1449.58,23.1071
66,0.00250406,0.00177332,1627.3,75.505
34,0.00120629,0.000248661,1455.81,23.9426
54,0.0036559,0.00259377,1562.44,69.4406
68,0.0053541,0.00217383,1742.27,40.5158
69,0.00247435,0.00156015,1546.41,10.2915
69,0.00261426,0.00123127,1570.23,139.513
64,0.0029701,0.00183746,1496.07,13.5734
60,0.00224692,0.00100547,1583.52,51.2017
42,0.00150663,0.000717994,1477.14,5.02787
21,0.001118,4.38676e-05,1413.96,2.82624
50,0.00125342,0.000475054,1427.89,39.8628
61,0.00255228,0.00158728,1506.77,7.44215
60,0.00114774,0.000151191,1456.4,23.4601
24,0.00113179,0.000148625,1476.88,14.3672
63,0.00245481,0.000984183,1650.16,45.6824
43,0.00148992,0.000524537,1510.11,27.0116
57,0.00169922,0.00148604,1522.82,27.3852
34,0.00114463,0.000180706,1466.36,15.8605
43,0.00128993,0.000426573,1546.03,42.4477
25,0.00110119,1.20724e-05,1438.05,40.3951
46,0.00133568,0.000529768,1591.22,65.4288
62,0.00350618,0.00250266,1599.46,37.96
34,0.00113084,0.000115463,1417.41,7.4082
49,0.00529969,0.00517662,1590.69,91.3825
34,0.00114894,0.00011543,1447.99,18.3395
34,0.00110302,1.50789e-05,1396.55,21.4766
45,0.00143712,0.000608352,1524.8,218.457
46,0.00139794,0.000513574,1545.93,30.8298
30,0.00116722,5.09552e-05,1398.52,11.1952
51,0.0015346,0.000675478,1466.33,4.44953
62,0.00145408,0.000578225,1529.24,5.74796
