coverage,time_mean,time_std,length_mean,length_std
67,0.00260398,0.000956985,1896.29,11.0472
68,0.00264017,0.00132162,1688.44,22.329
20,0.00126996,0.000202486,1464.2,30.5381
67,0.00283839,0.00107014,1869.7,31.2731
55,0.00257849,0.00101072,1664,34.0362
61,0.00188102,0.000792235,1662.69,40.3092
64,0.00418955,0.00182505,1865.92,49.9631
39,0.00190204,0.000686615,1638.31,98.671
60,0.00380717,0.00194002,1892.53,4.44541
53,0.00329509,0.00112759,1747.78,27.8669
39,0.00161905,0.000697606,1610.18,56.4275
30,0.00180407,0.000725453,1562.76,45.7625
68,0.00693589,0.00483968,1839.69,7.4485
54,0.00349893,0.00206046,1544.18,40.1498
22,0.00122775,8.10859e-05,1425.17,65.2167
57,0.00236434,0.000805223,1749.7,80.3668
69,0.00976272,0.00707937,1925.24,184.01
24,0.0011918,0.000256023,1430.62,46.6192
32,0.00153417,0.000577261,1619.36,25.7804
69,0.00706489,0.00391197,1760.81,173.376
51,0.00173811,0.000677756,1576.8,73.4959
34,0.00174509,0.000592969,1707.32,30.7193
40,0.00130651,0.000302381,1495.86,31.9857
20,0.00145002,0.000451175,1624.06,132.697
67,0.00241244,0.00146813,1812.66,38.6911
66,0.00261585,0.000857904,1862.31,11.2172
46,0.00141376,0.000412488,1511.94,18.986
58,0.002836,0.0014732,1684.65,166.741
34,0.00115704,7.93269e-05,1766.47,79.552
58,0.00316989,0.0011749,1827.96,12.0144
42,0.00172109,0.000681743,1805.39,3.97087
63,0.00343333,0.00134581,1605.62,47.6884
59,0.00378342,0.00169261,1716.77,99.7421
32,0.00126654,0.000343622,1510.74,59.8684
65,0.00345649,0.00208552,1848.37,46.0058
44,0.00189954,0.000663324,1815.82,37.1787
38,0.00165722,0.000619386,1502.83,54.4443
46,0.00213356,0.000810513,1713.66,27.1183
61,0.00217295,0.000729219,1808.21,57.7336
40,0.00142845,0.000558482,1431.31,30.8298
25,0.00187694,0.00080444,1559.07,73.7711
21,0.00113298,0.000151835,1481.1,15.9012
57,0.00350972,0.00210518,1773.33,33.6964
67,0.00177594,0.000622521,1775.53,70.1994
50,0.0016472,0.000603613,1684.02,15.6267
61,0.00170472,0.000704038,1785.4,24.7055
47,0.0018875,0.000812508,1724.02,20.3062
50,0.00162263,0.000561906,1798.15,51.2752
44,0.002511,0.000908019,1598.09,82.9723
60,0.00245341,0.000943648,1825.94,25.1491
56,0.00258243,0.000877002,1763.83,32.1412
56,0.00320484,0.0015104,1699.76,96.4154
30,0.00169766,0.000833064,1586.88,18.0287
37,0.00125126,0.000161085,1553.81,5.70643
50,0.00145586,0.000455893,1771.05,122.96
28,0.00124477,0.00022877,1673.01,37.4075
37,0.0018018,0.000645952,1590.48,25.5088
42,0.00222455,0.00066957,1714.87,53.6948
20,0.00121762,0.000134697,1532.63,15.9583
66,0.00368665,0.00159952,1904.89,143.403
34,0.00158448,0.000579882,1623.96,106.008
54,0.00321649,0.0011731,1785.1,103.368
68,0.00831443,0.00632177,1787.98,77.5942
69,0.00324804,0.00168748,1664.69,96.3465
69,0.00241831,0.000902529,1809.78,125.912
64,0.0026681,0.0012291,1832.93,14.9181
60,0.00344548,0.00134347,1729.25,102.708
42,0.00133464,0.000409392,1501.88,112.67
21,0.00114923,0.000117192,1461.42,12.5997
50,0.00211584,0.000706756,1698.48,11.3513
61,0.00184037,0.000818904,1725.42,54.1386
60,0.0027189,0.00137142,1805.6,152.819
24,0.00128694,0.000318277,1533.95,85.1687
63,0.00240689,0.000804917,1919.6,32.068
43,0.00200569,0.000733888,1581.51,67.8961
57,0.00379392,0.00187942,1620.65,20.6041
34,0.00187366,0.000608757,1752.64,45.3502
43,0.00144265,0.0004542,1778.17,8.28739
25,0.00153329,0.000578695,1630.05,11.1089
46,0.00174976,0.000607231,1593.85,22.777
62,0.00647779,0.00334261,1863.43,294.472
34,0.00161831,0.000522967,1698.32,197.746
49,0.00393474,0.00210114,1722.76,95.1391
34,0.00186776,0.000664229,1478.65,21.7386
34,0.00145092,0.000505593,1455.29,24.2417
45,0.00144555,0.000462436,1667.25,21.8181
46,0.00241355,0.000894271,1694.87,58.7129
30,0.00127753,0.000206462,1661.5,23.3104
51,0.00177575,0.000676069,1762.34,22.1771
62,0.00251297,0.00105436,1535.51,31.0798
