coverage,time_mean,NaN,length_mean,NaN
67,0.00296772,NaN,1521.46,NaN
68,0.00280668,NaN,1506.14,NaN
20,0.000666986,NaN,1428.39,NaN
67,0.00262036,NaN,1553.83,NaN
55,0.507115,NaN,1695.63,NaN
61,0.0294449,NaN,1682.26,NaN
64,0.0094627,NaN,1560.61,NaN
39,0.00179922,NaN,1485.19,NaN
60,0.00152152,NaN,1474.13,NaN
53,0.000740155,NaN,1531.2,NaN
39,0.0015788,NaN,1487.88,NaN
30,0.000712421,NaN,1471.2,NaN
68,0.00316943,NaN,1578.09,NaN
54,0.00208099,NaN,1250.64,NaN
22,0.000727027,NaN,1411.55,NaN
57,0.000854167,NaN,1473.46,NaN
69,0.0322037,NaN,1830.54,NaN
24,0.000583157,NaN,1426.49,NaN
32,0.000694486,NaN,1435.34,NaN
69,0.00500008,NaN,1501.95,NaN
51,0.000681523,NaN,1521.58,NaN
34,0.000744496,NaN,1444.24,NaN
40,0.000531369,NaN,1477.8,NaN
20,0.000616981,NaN,1434.82,NaN
67,0.00196533,NaN,1601.77,NaN
66,0.166632,NaN,1587.65,NaN
46,0.000637876,NaN,1508.85,NaN
58,0.000937779,NaN,1491.3,NaN
34,0.000812824,NaN,1526.12,NaN
58,0.0011013,NaN,1784.37,NaN
42,0.000882874,NaN,1509.39,NaN
63,0.023967,NaN,1620.36,NaN
59,0.0695058,NaN,1547.42,NaN
32,0.00109983,NaN,1430.54,NaN
65,0.0104648,NaN,1627.55,NaN
44,0.0015792,NaN,1541.06,NaN
38,0.000825861,NaN,1448.04,NaN
46,0.000882849,NaN,1480.3,NaN
61,0.00297725,NaN,1525.83,NaN
40,0.000718383,NaN,1414.07,NaN
25,0.000399859,NaN,1470.63,NaN
21,0.000326741,NaN,1427.73,NaN
57,0.0132835,NaN,1721.73,NaN
67,0.00123083,NaN,1651.75,NaN
50,0.00534726,NaN,1485.91,NaN
61,0.0034685,NaN,1581.79,NaN
47,0.000616369,NaN,1510.81,NaN
50,0.00133565,NaN,1477.5,NaN
44,0.000253173,NaN,1457.09,NaN
60,0.00108501,NaN,1504.26,NaN
56,0.00106404,NaN,1506.83,NaN
56,0.0603014,NaN,1578.37,NaN
30,0.000338135,NaN,1446.84,NaN
37,0.00161388,NaN,1572.44,NaN
50,0.00104499,NaN,1531.88,NaN
28,0.000671417,NaN,1411.09,NaN
37,0.00219495,NaN,1613.05,NaN
42,0.00139139,NaN,1497.26,NaN
20,0.000462418,NaN,1432.67,NaN
66,0.00329906,NaN,1610.49,NaN
34,0.0011883,NaN,1437.8,NaN
54,0.00305211,NaN,1487.23,NaN
68,0.00342705,NaN,1668.79,NaN
69,0.00168445,NaN,1540.53,NaN
69,0.00525905,NaN,1542.43,NaN
64,0.00140399,NaN,1488.71,NaN
60,0.00182909,NaN,1562.47,NaN
42,0.00325664,NaN,1488.49,NaN
21,0.000219596,NaN,1419.04,NaN
50,0.00130978,NaN,1437.16,NaN
61,0.00229541,NaN,1510.93,NaN
60,0.00051581,NaN,1454.62,NaN
24,0.000378254,NaN,1475.78,NaN
63,0.00486504,NaN,1626.15,NaN
43,0.0035136,NaN,1449.98,NaN
57,0.00218939,NaN,1491.7,NaN
34,0.000325266,NaN,1429.74,NaN
43,0.00201028,NaN,1539.5,NaN
25,0.000202826,NaN,1419.39,NaN
46,0.00149502,NaN,1562.48,NaN
62,0.00106057,NaN,1569.68,NaN
34,0.00058127,NaN,1423.13,NaN
49,0.00410282,NaN,1516.26,NaN
34,0.00146391,NaN,1456.33,NaN
34,0.00087504,NaN,1443.44,NaN
45,0.00027838,NaN,1461.96,NaN
46,0.00183313,NaN,1528.82,NaN
30,0.000320552,NaN,1425.56,NaN
51,0.0361871,NaN,1473.74,NaN
62,0.00300416,NaN,1516.31,NaN
