coverage,time_mean,time_std,length_mean,length_std
51,0.00093974,0.000411935,87.4643,1.42109e-13
63,0.00115116,0.000390614,349.977,1.54739
70,0.00129956,0.000319344,630.857,27.3056
26,0.0012222,7.445e-05,807.573,28.7081
56,0.00603751,0.0112894,511.882,5.41579
48,0.00109911,0.00027107,412.177,0.576441
65,0.0034327,0.00192118,897.602,95.4961
23,0.00118424,0.00014948,785.435,3.13165
42,0.00112526,0.000109805,866.406,14.7874
57,0.00109166,0.000210912,302.953,4.62193
27,0.0012093,0.000216678,861.919,20.9784
62,0.000925299,0.000487238,47.676,7.10543e-15
59,0.00138912,0.000269943,991.482,59.6947
49,0.0013428,0.00018411,801.768,18.977
48,0.00118514,7.91083e-05,700.729,21.9837
22,0.00101512,0.000348909,165.221,5.68434e-14
38,0.00134495,0.000439534,835.127,16.8396
56,0.00906782,0.00610307,1530.36,81.9909
55,0.000869279,0.00051818,272.121,3.97904e-13
61,0.00158267,0.000608711,542.147,84.4385
55,0.0013349,0.000190492,756.742,9.6083
54,0.00300994,0.00139765,1261.75,157.6
23,0.000815104,0.000537376,204.315,6.66727
57,0.00192056,0.000832845,733.733,11.9201
37,0.00114886,0.000199318,647.314,6.68439
54,0.00137287,0.000468937,1096.2,19.0946
61,0.00111172,0.000106567,715.532,19.4914
22,0.00112485,4.89716e-05,601.703,4.64211
48,0.00133532,0.000479504,1019.31,71.7493
30,0.00113057,0.00011351,755.114,9.6075
46,0.00131699,0.000480965,1038.37,14.2573
38,0.00112184,0.000117015,386.687,0.240076
55,0.00106897,0.000224844,389.854,1.86764
27,0.00112916,5.32088e-05,573.485,7.11009
35,0.0011293,0.000221261,301,0
61,0.00116458,0.000178197,774.702,19.1476
38,0.000957894,0.000391089,227.872,1.0491
23,0.00100076,0.000352319,325.113,21.6276
28,0.00112967,6.04702e-05,876.008,28.16
60,0.000958163,0.000377977,295.707,30.2655
29,0.00115015,7.08129e-05,565.919,4.40202
61,0.00107004,0.000262325,209,0
56,0.0011162,0.000104853,35.3412,2.13163e-14
30,0.000994844,0.000380465,475.34,0.52058
52,0.00114765,0.000243815,858.485,11.8114
21,0.00114939,6.98919e-05,336.505,73.4887
31,0.00115768,7.04317e-05,667.737,57.9253
40,0.00119334,0.000242585,503.015,10.7345
53,0.00176809,0.000799011,1125.6,5.54693
60,0.00110096,2.86123e-05,340.53,5.11591e-13
31,0.0010943,1.30152e-05,409.107,4.42551
46,0.00110493,1.59157e-05,342.498,6.25278e-13
47,0.00110112,2.20378e-05,292.651,4.64474
25,0.00109965,1.57978e-05,1006.1,23.4865
55,0.00110546,0.000153473,358.546,5.96346
49,0.00110518,2.89438e-05,571.028,10.3781
48,0.00110332,1.56346e-05,261.859,2.06038
55,0.00121725,0.000338574,680.328,5.09668
56,0.00112468,4.72651e-05,193.526,44.4934
50,0.00112953,0.000113455,656.696,53.326
53,0.00114616,0.000237513,525.576,17.0682
42,0.00110301,2.07081e-05,808.909,1.26668
35,0.00110685,0.000152613,543.323,12.3859
53,0.00115927,0.000557727,190.939,2.3453
57,0.00127717,0.000387427,454.294,5.34036
28,0.00109302,0.000102037,325.077,12.2234
26,0.00106453,0.000291523,457.43,15.5645
23,0.00112669,5.19188e-05,336.246,0.390899
59,0.00106915,0.000272315,299.046,16.2952
20,0.00115887,0.000124402,1003.4,22.1822
63,0.00174944,0.00067624,693.477,103.282
42,0.00102868,0.00036116,354.279,0.584459
32,0.00116032,0.000281842,485.294,1.86472
46,0.00112715,0.000161799,387.75,1.82524
23,0.00111988,3.59493e-05,689.366,19.0016
44,0.00110572,1.68065e-05,536.559,31.2743
65,0.00110455,1.54002e-05,92.8116,0.315798
70,0.00172116,0.000966252,523.414,2.98043
20,0.00113388,6.97438e-05,560.611,7.63446
22,0.00113136,6.16168e-05,946.297,34.7633
61,0.00131894,0.00049052,738.375,41.4562
68,0.00135265,0.000425978,740.551,15.9771
60,0.00191412,0.0011748,942.119,6.0393
22,0.00111316,3.50137e-05,513.983,11.1851
68,0.00956775,0.0171795,515.947,14.9612
27,0.00114675,0.000223805,623.791,5.46093
70,0.0036141,0.00208652,1255.45,13.5477
69,0.00114812,0.000292151,69.1231,1.56319e-13
42,0.00110166,0.000143846,351.814,4.54747e-13
59,0.00124932,0.000400587,348.749,3.97904e-13
57,0.00111686,0.000107893,298.219,10.98
53,0.00111303,0.000105417,146.779,1.98952e-13
60,0.00106454,0.000321881,196.426,28.1489
68,0.00263214,0.00124923,1026.68,80.5264
27,0.00116119,8.21665e-05,687.952,22.2486
63,0.00111511,0.000184193,521.521,1.12454
55,0.00144757,0.000760088,263.132,0.737264
43,0.00119457,0.000212324,945.119,34.1664
42,0.00108306,0.000277053,183.078,3.51439
56,0.00197969,0.000873156,847.807,138.919
