coverage,time_mean,time_std,length_mean,length_std
51,0.000866558,0.000492397,87.4643,1.42109e-13
63,0.00116235,0.000217227,361.32,33.8579
70,0.00320047,0.00238317,743.472,41.5132
26,0.00115733,0.000130208,870.516,59.9613
56,0.00131258,0.000669576,529.026,7.46611
48,0.00114946,0.000269053,412.867,1.91186
65,0.0196874,0.0162079,941.883,155.856
23,0.00122456,9.14405e-05,929.59,40.574
42,0.00252294,0.00133985,933.76,74.4703
57,0.00125061,0.000220403,305.589,7.81265
27,0.00132602,0.000290351,864.233,175.857
62,0.000795536,0.000494632,47.676,7.10543e-15
59,0.0034933,0.00179161,1084.29,183.167
49,0.00378324,0.00404805,829.651,61.5825
48,0.00189254,0.00104999,778.684,190.988
22,0.000764521,0.000523667,165.221,5.68434e-14
38,0.0012569,0.000232879,873.99,104.838
56,0.00186591,0.000679978,1476.95,26.4624
55,0.000801904,0.000500563,272.121,3.97904e-13
61,0.00228875,0.00173616,606.758,3.24117
55,0.00484572,0.00533124,759.684,23.8435
54,0.0090448,0.0055143,1382.98,200.158
23,0.00102081,0.000438596,205.999,30.3077
57,0.0013099,0.000346303,765.561,5.19093
37,0.00123742,0.000190304,711.482,18.1783
54,0.00193336,0.000600105,1369.42,82.3408
61,0.0012805,0.000133957,727.83,42.4548
22,0.00121218,6.74337e-05,601.174,0.553923
48,0.00179195,0.000701875,1013.92,14.3905
30,0.00132887,0.00021318,756.639,24.139
46,0.0033743,0.00194027,1070.71,65.8644
38,0.00108498,0.000390552,386.784,0.639673
55,0.00126424,0.000203004,389.565,4.17903
27,0.00129561,0.000382783,717.213,42.659
35,0.000893049,0.00070931,301,0
61,0.00390241,0.0023613,774.332,1.57719
38,0.0010958,0.000358642,228.611,4.29503
23,0.00130901,0.000294991,322.84,0.21671
28,0.00119981,0.000103385,914.336,9.08521
60,0.0012034,0.00039404,295.392,34.1592
29,0.0020538,0.00113797,576.775,42.4273
61,0.000715956,0.000526988,209,0
56,0.000752722,0.000519701,35.3412,2.13163e-14
30,0.00102463,0.00050736,475.32,0.42422
52,0.00184515,0.000835677,858.286,1.9885
21,0.00117381,0.000234536,341.369,68.0747
31,0.00115653,0.000127918,659.328,9.07973
40,0.00153153,0.00118182,694.752,88.2999
53,0.00265814,0.00126313,1433.57,125.758
60,0.000679767,0.000535637,340.53,5.11591e-13
31,0.0011928,7.28948e-05,407.083,0.155522
46,0.000991125,0.000368851,342.498,6.25278e-13
47,0.00106219,0.000324497,295.044,12.8366
25,0.00123688,0.000258174,1101.62,84.4495
55,0.00193935,0.00131358,375.012,108.888
49,0.00138201,0.000209362,596.038,4.63624
48,0.00252712,0.00170248,261.815,2.07335
55,0.00209737,0.00105237,685.081,43.2414
56,0.00106091,0.000547887,189.226,1.77572
50,0.00186845,0.0010092,824.18,243.892
53,0.001211,0.00011512,640.454,6.24636
42,0.00126558,0.000321064,832.837,30.4831
35,0.00143436,0.000668742,547.413,22.418
53,0.00325717,0.00328238,189.991,1.95824
57,0.00229293,0.0024994,457.91,7.30581
28,0.00130476,0.000297977,323.638,1.45231
26,0.00120282,6.89815e-05,455.501,1.45219
23,0.00114307,0.000311079,333.566,2.04127
59,0.00205347,0.00147319,360.111,33.9849
20,0.00135646,0.000185111,1140.94,65.6231
63,0.00233438,0.00122715,1116.1,117.299
42,0.00139836,0.000634971,355.207,4.00009
32,0.00134415,0.000143236,490.872,33.3483
46,0.00109341,0.00030624,387.446,2.87969
23,0.00112733,0.000110418,691.708,43.4666
44,0.0024228,0.00208956,616.401,133.76
65,0.000848213,0.00050199,94.5094,9.7344
70,0.00140731,0.000509065,522.366,1.29427
20,0.00117402,0.000232572,574.358,25.482
22,0.0016143,0.000701247,946.065,53.4301
61,0.0038768,0.00270288,915.885,148.164
68,0.00177233,0.000778456,768.106,115.887
60,0.0062561,0.0051473,950.588,104.639
22,0.00130936,0.000317507,508.308,14.7474
68,0.0543098,0.0551166,536.18,102.988
27,0.0011779,7.16888e-05,663.982,3.67313
70,0.00269947,0.00136341,1443.54,61.8688
69,0.000708443,0.000497483,69.1231,1.56319e-13
42,0.000851611,0.000485352,351.814,4.54747e-13
59,0.00136972,0.00127298,348.749,3.97904e-13
57,0.00138944,0.000664628,338.68,44.7088
53,0.000732217,0.000515255,146.779,1.98952e-13
60,0.00149147,0.00132779,189.126,1.27933
68,0.0036703,0.00164193,1418.82,44.357
27,0.00133367,0.000126664,696.968,23.234
63,0.0011728,0.000768305,521.477,1.35884
55,0.00124529,0.000294299,280.247,2.00589
43,0.00150254,0.000465309,1187.32,114.842
42,0.00182538,0.00143338,182.465,3.16464
56,0.00430586,0.00405008,976.306,142.712
