coverage,time_mean,time_std,length_mean,length_std
51,0.000993126,0.000436886,87.4643,1.42109e-13
63,0.00132104,0.000509148,350.706,3.34356
70,0.00450215,0.0036537,653.753,28.7551
26,0.00179168,0.00135406,816.706,22.9715
56,0.0027187,0.00122337,526.521,2.90547
48,0.00172195,0.00102925,412.417,1.20703
65,0.987291,0.108539,883.161,123.163
23,0.00148213,0.000423735,789.43,14.8839
42,0.0172885,0.0223971,881.842,23.1285
57,0.00134296,0.000376944,304.012,6.44835
27,0.00413712,0.00362099,871.353,115.698
62,0.00074724,0.000516326,47.676,7.10543e-15
59,0.517534,0.390197,959.86,3.56715
49,0.0135786,0.0163072,717.264,22.9046
48,0.00222616,0.00136488,795.491,3.28125
22,0.000969983,0.000465186,165.221,5.68434e-14
38,0.00383066,0.00341537,862.265,5.25686
56,0.316961,0.316521,1501.77,21.9307
55,0.000923752,0.00047615,272.121,3.97904e-13
61,0.114996,0.159773,614.814,71.4251
55,0.0265909,0.0623097,760.818,8.42763
54,0.826654,0.289106,1275.8,186.339
23,0.00125888,0.000282197,203.163,1.93451
57,0.0110695,0.0110782,765.134,4.29707
37,0.00177829,0.000783504,716.984,31.958
54,0.0150308,0.0152096,1120.88,88.0824
61,0.00167733,0.000859092,713.237,23.4419
22,0.00118699,0.00029557,600.999,0.345326
48,0.0178335,0.0187546,1015.96,85.8824
30,0.00142267,0.00039264,752.784,5.47543
46,0.0587547,0.0901517,1076.3,18.0268
38,0.00204428,0.00145296,386.693,0.33947
55,0.00494613,0.0059586,389.052,1.09286
27,0.0030977,0.00203383,583.017,4.72181
35,0.00167756,0.00164305,301,0
61,0.0916684,0.14785,778.223,7.08809
38,0.00282619,0.00338054,227.933,1.07146
23,0.00843239,0.0118383,323.047,0.493441
28,0.00148779,0.000562167,929.459,13.5865
60,0.00137751,0.000519646,286.948,13.7177
29,0.107114,0.130555,587.099,91.5073
61,0.000973394,0.000456154,209,0
56,0.000680689,0.000500423,35.3412,2.13163e-14
30,0.00192829,0.0015404,475.312,0.453471
52,0.00144729,0.000466074,856.207,0.889463
21,0.00156252,0.000625018,404.025,32.6922
31,0.00128262,0.000166381,669.692,60.1344
40,0.00608387,0.0065436,506.473,26.4433
53,0.0589968,0.0529582,1185.29,117.34
60,0.000719754,0.000519154,340.53,5.11591e-13
31,0.00191257,0.00138111,415.955,50.6046
46,0.000871587,0.000513409,342.498,6.25278e-13
47,0.00121683,0.000341345,299.194,44.1053
25,0.00236299,0.00139899,1012.65,23.4827
55,0.0014401,0.000742464,359.671,8.93511
49,0.00257194,0.00236129,585.013,27.6898
48,0.0125387,0.0163323,273.108,5.57693
55,0.00328235,0.00211537,679.968,8.63256
56,0.00127964,0.000232736,189.149,1.19699
50,0.0298002,0.0329108,709.642,164.491
53,0.00123071,9.93861e-05,525.947,10.4075
42,0.00259975,0.00161101,824.148,3.09849
35,0.00390045,0.00329799,561.34,8.31074
53,0.0589435,0.106934,190.198,5.9444
57,0.0343026,0.0344066,453.739,6.91891
28,0.00119969,0.000421988,327.786,6.01902
26,0.00132257,0.000517549,462.113,45.6445
23,0.00256622,0.00172437,334.5,2.07045
59,0.00345918,0.00342034,302.397,22.0796
20,0.00532356,0.00455794,1099.07,97.9227
63,0.00996353,0.00862846,660.697,5.42302
42,0.00195769,0.00126733,354.337,1.24036
32,0.00572598,0.00595564,490.277,39.2708
46,0.00134616,0.00041465,386.944,0.593171
23,0.00133211,0.000456072,682.69,0.310346
44,0.00594101,0.00596067,529.06,0.536427
65,0.00108505,0.000407051,92.8195,1.7731
70,0.00599816,0.0054329,521.757,1.07523
20,0.0017748,0.00102452,569.4,46.6054
22,0.0339397,0.0470624,969.632,85.3682
61,0.00724345,0.0073017,741.964,96.3363
68,0.00143141,0.000433832,742.733,23.5616
60,0.380284,0.370985,940.802,6.27235
22,0.00186434,0.00117808,511.767,21.3475
68,0.42506,0.356336,513.11,4.89817
27,0.00251539,0.00194369,665.452,3.29864
70,0.172447,0.1612,1273.82,76.4874
69,0.000734011,0.000512693,69.1231,1.56319e-13
42,0.000876322,0.000488246,351.814,4.54747e-13
59,0.00282056,0.00288166,348.749,3.97904e-13
57,0.0117284,0.0119627,386.679,69.7266
53,0.000862066,0.000504358,146.779,1.98952e-13
60,0.00250798,0.00213168,188.875,1.84205
68,0.0807078,0.0907719,1187.04,215.404
27,0.0015124,0.000843067,699.786,21.8976
63,0.00125736,0.000400345,521.637,1.4489
55,0.00203828,0.00139586,263.068,1.94155
43,0.00737187,0.00517948,1010.08,34.3366
42,0.00272511,0.00312406,183.102,4.73263
56,0.0278187,0.0309128,861.215,79.1989
