coverage,time_mean,time_std,length_mean,length_std
51,0.000475604,0.000419282,87.4643,1.42109e-13
63,0.000494066,0.000541105,349.013,1.1454
70,0.000853175,0.000768083,632.456,29.3913
26,0.000433286,0.000197314,817.632,4.24552
56,0.012074,0.0188146,520.003,29.123
48,0.000299642,0.000251182,413.26,3.88449
65,0.0059275,0.00362626,872.19,50.0791
23,0.000494976,0.000309718,795.955,19.1847
42,0.000813239,0.000735624,894.838,33.0786
57,0.000277843,0.000204652,303.353,4.80837
27,0.000460272,0.000295638,856.849,3.13346
62,0.000278475,0.000363314,47.676,7.10543e-15
59,0.00134301,0.000797074,967.043,66.0346
49,0.000780735,0.000564331,798.494,14.9876
48,0.000726038,0.000407935,710,58.0028
22,0.000220443,0.000149915,165.221,5.68434e-14
38,0.00118312,0.00090513,825.507,27.0318
56,0.0154384,0.00934359,1566.06,84.976
55,0.00015097,9.01521e-05,272.121,3.97904e-13
61,0.00209463,0.00108336,576.236,36.6707
55,0.00052374,0.000422765,697.545,44.7962
54,0.00457657,0.00233472,1241.59,67.819
23,0.000222557,0.000152829,203.192,2.00457
57,0.00239891,0.00111906,742.555,15.9513
37,0.000388834,0.00020677,647.319,13.5064
54,0.0013374,0.000801033,1099.05,3.08866
61,0.000364708,0.000318527,709.571,2.72823
22,0.00029138,0.000166077,603.043,15.2527
48,0.00130671,0.000753696,1012.11,78.7787
30,0.000348818,0.000211023,752.624,1.84803
46,0.00114423,0.00103892,1041.86,30.3805
38,0.000350824,0.000204721,386.642,0.0647567
55,0.00028685,0.000294198,389.785,1.25501
27,0.000310584,0.000191726,583.351,11.5772
35,0.000259056,0.000139974,301,0
61,0.000698627,0.000853858,774.486,3.67785
38,0.000216268,0.000187302,228.036,0.202524
23,0.000278359,0.000190222,326.004,30.2187
28,0.000394356,0.000206666,910.558,3.6911
60,0.000199871,0.000177975,284.341,0.481616
29,0.000679068,0.000400071,565.581,3.18117
61,0.000271395,0.000260703,209,0
56,0.000220049,0.000157844,35.3412,2.13163e-14
30,0.000282393,0.00020982,476.705,13.602
52,0.000650441,0.000603512,856.293,0.917831
21,0.000378511,0.000208454,297.903,6.93281
31,0.000702863,0.000411737,668.119,55.5651
40,0.000346719,0.000183486,573.488,44.2658
53,0.00226771,0.00167036,1121.83,36.1872
60,0.000230116,0.000155537,340.53,5.11591e-13
31,0.000322932,0.000158475,420.059,58.4249
46,0.000147397,7.80615e-05,342.498,6.25278e-13
47,0.000232064,0.000189043,291.654,2.62546
25,0.000569895,0.000302489,1002.68,3.15845
55,0.000311002,0.000313704,360.481,12.5761
49,0.000411966,0.000272373,591.273,36.4847
48,0.000404744,0.000264451,265.213,5.93155
55,0.000713018,0.000956836,680.061,11.4238
56,0.000226136,0.000208601,193.468,44.1361
50,0.000749865,0.000580316,652.769,4.61293
53,0.000721597,0.00086456,526.484,19.9801
42,0.000442428,0.000234706,834.3,56.6223
35,0.000343238,0.000164701,550.333,10.5538
53,0.00104966,0.00183689,192.074,7.42475
57,0.00136072,0.00102076,453.045,2.86034
28,0.000267932,0.000193866,330.522,5.97478
26,0.000251382,0.000149542,455.529,0.181478
23,0.00047297,0.00026293,340.897,64.036
59,0.000323679,0.000341989,296.449,8.88975
20,0.000585311,0.000310593,979.602,9.9591
63,0.00260396,0.0016133,667.574,5.11297
42,0.000244489,0.000165135,355.56,1.3204
32,0.000261506,0.000137071,484.904,2.00813
46,0.000452047,0.000332124,393.521,41.2677
23,0.000459606,0.000261389,685.7,14.811
44,0.000472978,0.0003362,528.859,0.471306
65,0.000174083,0.00015571,88.7447,1.20046
70,0.00196302,0.00173327,523.175,0.514741
20,0.000328271,0.000171949,577.386,20.2142
22,0.000419555,0.000293775,983.692,48.4742
61,0.000874713,0.000699535,775.512,39.0796
68,0.00108971,0.00100585,750.315,52.1199
60,0.0024305,0.0030347,942.121,9.04136
22,0.000305811,0.000185118,507.819,13.8402
68,0.0250714,0.0654787,514.64,4.56018
27,0.000400077,0.000196931,627.207,21.589
70,0.00642953,0.00708786,1313.75,157.055
69,0.000314926,0.000427608,69.1231,1.56319e-13
42,0.000198472,0.000121192,351.814,4.54747e-13
59,0.000602519,0.00100635,348.749,3.97904e-13
57,0.000563392,0.000335365,321.646,68.6456
53,0.000218625,0.000133316,146.779,1.98952e-13
60,0.000181727,0.000124533,188.607,0.222859
68,0.0041616,0.00286724,1107.09,174.955
27,0.00032777,0.000170686,688.906,11.6148
63,0.000278933,0.000188987,525.025,34.3234
55,0.00143795,0.00166998,262.826,0.815553
43,0.000803522,0.000477533,985.497,29.0866
42,0.000248957,0.000225236,182.12,0.581795
56,0.00236568,0.00159319,817.939,53.5107
