coverage,time_mean,time_std,length_mean,length_std
51,0.000685025,0.000497561,87.4643,1.42109e-13
63,0.00111537,0.000113487,352.363,23.8311
70,0.00121877,0.000360607,674.598,13.6058
26,0.00108369,0.000301804,797.518,20.5734
56,0.00353438,0.00494914,528.367,3.17158
48,0.000794572,0.000493876,412.329,0.557262
65,0.003278,0.00202697,852.217,9.95245
23,0.00117541,0.000237186,796.987,51.7408
42,0.00132247,0.000475742,872.185,20.3128
57,0.000688286,0.00049734,309.114,11.9254
27,0.000962103,0.000378721,780.398,78.6895
62,0.000704733,0.000490516,47.676,7.10543e-15
59,0.00123723,0.000226858,959.013,7.81162
49,0.00122611,0.000217543,797.352,5.23687
48,0.00111282,0.00011308,715.339,49.5768
22,0.000845894,0.000448333,165.221,5.68434e-14
38,0.00122196,0.000321947,900.297,113.418
56,0.00736553,0.00461803,1563.03,73.8878
55,0.0010653,0.000216252,272.121,3.97904e-13
61,0.00119716,0.00043544,607.886,4.96186
55,0.00114283,0.000119769,693.028,48.9085
54,0.00333242,0.00155548,1272.17,150.366
23,0.00111352,0.000218628,205.503,13.9712
57,0.00118852,0.000218148,765.361,3.65091
37,0.00106338,0.000198896,667.737,29.3247
54,0.00137767,0.000523883,1159.9,84.643
61,0.00109935,1.41865e-05,712.207,21.0565
22,0.00104462,0.000240382,601.387,1.43058
48,0.00118823,0.000252508,1019.33,5.28639
30,0.00101822,0.000288316,753.894,8.71679
46,0.00122691,0.00032771,1065.72,4.53248
38,0.00110292,1.83796e-05,386.741,0.589593
55,0.00110085,1.50793e-05,391.44,3.94601
27,0.00109955,1.43947e-05,585.689,39.1607
35,0.00111149,2.94422e-05,301,0
61,0.00153648,0.000857157,794.581,41.4377
38,0.00108185,0.000174897,229.336,10.3629
23,0.00109449,0.000102694,329.278,43.2145
28,0.00110092,1.70002e-05,924.287,39.7429
60,0.00110719,2.00663e-05,320.35,63.1797
29,0.00112513,0.000109735,591.202,101.007
61,0.00111429,1.96339e-05,209,0
56,0.00110311,0.000107499,35.3412,2.13163e-14
30,0.00106669,0.000197004,475.33,0.223739
52,0.00110117,1.60393e-05,859.783,17.2639
21,0.00108957,9.83801e-05,374.576,40.4748
31,0.00110068,0.000103694,654.711,17.1159
40,0.00110335,1.71679e-05,511.032,22.928
53,0.00136801,0.000607332,1121.54,6.51039
60,0.0010966,1.6067e-05,340.53,5.11591e-13
31,0.00103695,0.000258589,417.539,75.4913
46,0.000639508,0.000500083,342.498,6.25278e-13
47,0.0007298,0.000484832,292.062,2.93258
25,0.00110345,0.000104083,1008.8,27.5601
55,0.00106654,0.000292039,358.578,2.30145
49,0.000867741,0.00043451,580.131,13.3037
48,0.00111929,0.00010766,261.552,0.592732
55,0.00123027,0.000458832,674.524,9.97577
56,0.00110236,1.18485e-05,189.183,1.31835
50,0.00111043,3.52799e-05,677.484,116.841
53,0.00116556,0.00023402,609.536,50.6783
42,0.00108659,0.000142729,810.461,7.08031
35,0.0011163,0.000113002,555.92,13.3168
53,0.0011983,0.000301088,190.191,2.57901
57,0.00129785,0.000486699,458.076,25.6606
28,0.00110856,3.40319e-05,324.506,4.0371
26,0.00101567,0.000287156,456.021,6.07663
23,0.000947909,0.000368688,341.001,63.7656
59,0.00111595,0.000233907,296.267,1.16165
20,0.001085,0.000142365,999.604,36.852
63,0.00166005,0.00071929,1103.46,89.7186
42,0.000998548,0.000298911,354.144,0.871197
32,0.00109843,1.48221e-05,486.986,13.257
46,0.00105476,0.000267086,398.475,108.909
23,0.000814311,0.000467925,683.335,3.51075
44,0.000988852,0.000406204,546.377,94.924
65,0.000794129,0.000461081,88.615,1.72717
70,0.00113207,0.000317957,522.588,2.49097
20,0.000812776,0.000467309,559.617,2.52907
22,0.00108842,0.000232224,980.178,106.506
61,0.00167132,0.000755562,876.932,107.567
68,0.00117274,0.000295493,774.46,27.3043
60,0.00349329,0.00246822,978.11,193.165
22,0.000783144,0.000485487,505.54,2.5046
68,0.0125067,0.0189648,513.272,3.77576
27,0.000781882,0.000503938,663.493,1.32447
70,0.00374214,0.00268244,1267.27,43.5976
69,0.000551852,0.000495122,69.1231,1.56319e-13
42,0.000614422,0.00049654,351.814,4.54747e-13
59,0.000830202,0.0006085,348.749,3.97904e-13
57,0.00110721,0.000214234,310.636,46.7206
53,0.000909963,0.000405815,146.779,1.98952e-13
60,0.000769799,0.000480146,193.309,38.0385
68,0.00224782,0.00151711,1370.91,106.086
27,0.000845319,0.000467287,701.139,15.9132
63,0.00107734,0.000173988,521.463,0.64177
55,0.00126734,0.000503192,270.608,17.0084
43,0.00122035,0.000112043,1022.65,115.844
42,0.000808683,0.000489787,183.353,5.82075
56,0.00224855,0.00109196,808.515,50.7614
