coverage,time_mean,length_mean
51,0.000289369,79.9098
63,0.00653182,568.697
70,0.00934934,627.216
26,0.0176761,916.474
56,0.00658577,528.153
48,0.00604568,410.5
65,0.0186089,875.466
23,0.0234644,784.099
42,0.0327195,912.402
57,0.00699373,317.413
27,0.0121507,859.461
62,0.000199048,39.6655
59,0.0212731,958.047
49,0.0147229,724.505
48,0.0274239,784.894
22,0.000215679,160.323
38,0.0276758,864.287
56,0.0486177,1616.07
55,0.000571197,270.139
61,0.00372802,534.738
55,0.0116679,781.564
54,0.175367,1131.92
23,0.00172161,201.311
57,0.0154304,767.993
37,0.0208081,712.505
54,0.0290099,1095.88
61,0.0131768,711.892
22,0.0151167,600.915
48,0.0257467,989.415
30,0.0211499,892.549
46,0.0290867,1143.95
38,0.00351847,382.93
55,0.00402154,385.346
27,0.0115287,582.022
35,0.000865866,300
61,0.0191271,770.707
38,0.000966799,228.744
23,0.00323985,322.307
28,0.0226506,882.781
60,0.0019359,284.794
29,0.0237762,557.776
61,0.000472789,200
56,0.000184672,29.9933
30,0.00888409,470.577
52,0.0123233,854.321
21,0.00309848,381.244
31,0.00309757,651.388
40,0.00711579,579.407
53,0.0223369,1145.28
60,0.00354289,333.922
31,0.00496392,405.498
46,0.00066092,340.602
47,0.000684171,290.725
25,0.0344095,1004.21
55,0.00321981,406.073
49,0.00904888,593.456
48,0.000994922,252.876
55,0.0157685,667.994
56,0.000705482,180.397
50,0.00982676,648.304
53,0.00531987,521.494
42,0.0182868,852.432
35,0.0141519,560.539
53,0.00184574,189.084
57,0.00373115,454.351
28,0.00207918,320.955
26,0.00808066,448.962
23,0.00166013,330.012
59,0.00348181,381.983
20,0.0537854,1052.83
63,0.0497869,1082.55
42,0.00151117,350.552
32,0.0109481,483.427
46,0.00509287,386.72
23,0.0176201,691.309
44,0.0219718,626.976
65,0.000257459,90.4914
70,0.00717421,522.742
20,0.0168827,609.333
22,0.00961593,953.454
61,0.0178745,1006.93
68,0.0130224,780.597
60,0.0318811,940.056
22,0.00920956,513.195
68,0.0218081,522.704
27,0.0150966,657.757
70,0.0260036,1316.07
69,0.000134537,59.9831
42,0.000732357,350.229
59,0.0409508,714.443
