i,time_mean,time_std,length_mean,length_std
51,4.87285e-05,1.10673e-05,72.2615,3.05176e-05
63,0.000453561,0.000128034,756.41,149.779
70,0.000924288,8.96076e-05,691.973,0.994637
26,0.000329757,1.73885e-05,845.887,44.7471
56,0.000970415,0.000395144,504.175,16.762
48,0.000143271,1.87104e-05,407.277,0.9847
65,0.00300073,0.000327798,1159.28,0.91055
23,0.00101058,0.000224697,802.502,69.6097
42,0.00100922,0.000122759,869.752,6.44231
57,0.000100649,1.74667e-05,316.836,0.580307
27,0.000667282,0.000157397,972.058,133.786
62,2.73679e-05,6.81209e-06,43.5909,1.14441e-05
59,0.00181124,0.000335128,1768.16,214.986
49,0.000691794,7.98517e-05,807.58,36.135
48,0.000767752,0.000229541,842.28,6.1924
22,2.45837e-05,8.92406e-06,135.804,6.10352e-05
38,0.000654578,8.31142e-05,845.715,21.7552
56,0.00171946,0.00016336,1494.74,35.5179
55,7.24016e-05,1.10838e-05,219.932,0.000106812
61,0.000792817,6.61741e-05,607.988,0.425316
55,0.000355339,2.62064e-05,675.03,54.2433
54,0.0078874,0.000293591,1767.77,62.6661
23,8.87643e-05,1.28857e-05,198.978,0.234131
57,0.00032656,5.0538e-05,748.091,2.15618
37,0.000263091,5.822e-05,731.132,12.0524
54,0.00214111,6.47162e-05,1547.78,308.689
61,0.000219127,3.57095e-05,687.672,0.676765
22,0.000119835,2.90972e-05,561.93,3.50942
48,0.000954969,0.000287175,985.061,6.22169
30,0.000276916,3.34452e-05,696.999,2.76522
46,0.00213457,0.000461702,1118.12,100.657
38,0.000123636,1.41458e-05,348.372,4.39373
55,8.39602e-05,1.44049e-05,379.284,3.18515
27,0.000255961,4.56639e-05,577.839,6.49818
35,8.36836e-05,1.34114e-05,244,0
61,0.00163284,0.00155101,825.385,37.9379
38,6.33755e-05,1.2198e-05,216.664,0.837418
23,0.000105324,1.44526e-05,313.972,0.640813
28,0.000226191,5.92143e-05,881.766,7.42664
60,9.56052e-05,2.00336e-05,281.842,1.29855
29,0.00122506,0.000367692,785.061,193.703
61,0.000136774,2.9828e-05,172,0
56,1.95973e-05,2.66827e-06,32.2843,7.62939e-06
30,0.000127756,6.88216e-05,451.108,0.0593027
52,0.000693498,6.80028e-05,774.384,3.52035
21,0.000405875,0.000306569,439.245,1.48615
31,0.000732906,0.000224383,994.953,301.084
40,0.00028511,3.33752e-05,509.808,68.396
53,0.00344717,0.000256689,1213.82,96.7826
60,7.13509e-05,1.60903e-05,340.529,1.65652
31,0.000286369,5.47433e-05,775.492,91.9403
46,4.89477e-05,6.46305e-06,276.234,9.15527e-05
47,7.45541e-05,4.34175e-05,265.53,0.32338
25,0.00148834,0.000205289,1082.7,76.8096
55,0.000257838,8.46249e-05,410.185,0.940695
49,0.000157207,4.03507e-05,530.049,1.94653
48,0.000159824,3.11258e-05,250.344,0.327672
55,0.000886843,0.000223348,666.431,32.9414
56,4.8189e-05,8.1031e-06,180.187,1.65112
50,0.000607382,9.01274e-05,948.209,213.311
53,0.000433978,4.27919e-05,550.87,58.3692
42,0.000577875,0.000141788,913.962,85.2893
35,0.0004872,0.000115586,565.078,0.477615
53,8.44955e-05,1.33826e-05,187.527,1.01275
57,0.000265861,6.39981e-05,473.122,1.99105
28,0.000104349,1.69752e-05,313.85,8.22243
26,0.000128506,1.62179e-05,448.467,2.58734
23,0.000113203,2.76374e-05,308.8,1.08659
59,0.000151734,4.66129e-05,361.737,0.69482
20,0.000586525,6.90933e-05,1132.26,6.05441
63,0.00176531,0.000400516,1099.81,13.8554
42,0.000188451,3.39767e-05,358.869,0.0308823
32,0.000248761,6.4221e-05,506.556,36.3912
46,0.000160409,4.02087e-05,353.527,0.425101
23,0.000454503,0.000117096,665.672,4.91082
44,0.000402089,3.99222e-05,568.826,80.3492
65,3.17829e-05,1.37989e-05,94.6682,0.295507
70,0.000188961,0.000110899,512.194,0.910747
20,0.000160292,1.1808e-05,569.149,18.7075
22,0.000387669,0.000163534,882.856,19.0217
61,0.00156984,0.000442365,1021.99,42.462
68,0.000792964,0.000207694,757.23,29.9509
60,0.000896829,0.000141016,935.265,0.322821
22,0.000165128,5.56488e-05,475.581,7.37675
68,0.00100883,0.000179835,518.528,0.842742
27,0.000595242,0.00028576,704.398,50.2339
70,0.00360009,0.000637396,1259.99,10.706
69,2.34881e-05,7.73048e-06,59.9264,3.43323e-05
42,5.40856e-05,1.06311e-05,283.923,0.000183105
59,0.00231327,0.000485981,708.657,45.1029
57,0.000143134,2.34699e-05,350.21,2.37477
53,3.69106e-05,7.27801e-06,120.213,7.62939e-06
60,5.18147e-05,7.89207e-06,187.939,0.605198
68,0.00385295,0.00105519,1422.03,1.32855
27,0.000194852,5.00248e-05,632.584,6.25071
63,0.000178805,2.07572e-05,455.809,0.120983
55,0.000271406,8.05159e-05,279.343,1.21058
43,0.00120232,0.000415947,1228.3,144.719
42,7.81746e-05,1.30403e-05,179.846,0.892245
56,0.00213937,0.00150143,944.071,0.873991
