coverage,time_mean,time_std,length_mean,length_std
67,0.00568934,0.00367718,1536.85,92.266
68,0.00223406,0.00119599,1643.06,26.7448
20,0.00130384,9.2105e-05,1427.15,27.1384
67,0.00390649,0.00160262,1781.87,90.9611
55,0.00696372,0.00616643,1684.58,61.391
61,0.00175965,0.000699231,1565.95,23.372
64,0.00355929,0.00230227,1552.5,15.3892
39,0.00130997,0.000195592,1471.55,11.1517
60,0.00188113,0.00100944,1470.34,15.9278
53,0.00182199,0.00080115,1564.84,74.1638
39,0.00204967,0.00136139,1502.6,41.1951
30,0.00147269,0.000413575,1475.73,52.855
68,0.0103626,0.00958412,1571.51,55.777
54,0.00195156,0.000744096,1527.8,29.4895
22,0.0013439,9.59199e-05,1403.33,4.49964
57,0.00163936,0.000671355,1462.18,5.66747
69,0.00640837,0.0046294,1851.4,47.7121
24,0.0012541,0.000103034,1419.18,2.18704
32,0.00119767,0.000415439,1426.59,15.1885
69,0.0047217,0.00312553,1597.66,121.482
51,0.00132306,0.000438338,1542.23,32.6063
34,0.00122292,0.000331543,1478.37,45.8451
40,0.00113451,5.29244e-05,1472.34,35.4843
20,0.00123194,0.000503647,1440.34,15.7475
67,0.00250962,0.00129379,1553.58,33.3792
66,0.00313825,0.00144968,1592.85,73.829
46,0.00122204,0.000145697,1526.68,23.2998
58,0.00142673,0.000624082,1485.15,41.3672
34,0.00243361,0.00327871,1579.77,28.6187
58,0.00339561,0.00160813,1682.5,67.6044
42,0.00136187,0.000328638,1498.27,11.0807
63,0.00734842,0.00557864,1564.35,49.9346
59,0.00202517,0.00107012,1642.97,19.7082
32,0.00132387,0.000159528,1434.31,18.082
65,0.00298268,0.00148879,1648.87,63.7385
44,0.00136878,0.000434948,1491.95,54.2764
38,0.00117347,0.000136882,1428.23,22.2619
46,0.00115704,0.000164849,1512.05,10.8938
61,0.00190171,0.000908857,1548.41,12.0894
40,0.0011121,3.2185e-05,1415.76,19.4336
25,0.00112091,0.000110403,1483.61,18.0494
21,0.00111395,3.0779e-05,1433.39,17.9788
57,0.00200397,0.000875378,1711.61,65.5281
67,0.00146778,0.000556241,1649.85,27.6253
50,0.00130755,0.000425459,1458.25,7.59945
61,0.00174967,0.000710119,1537.22,35.3998
47,0.00135312,0.000522982,1494.87,8.68229
50,0.00129013,0.00039982,1492.48,18.8865
44,0.0018277,0.00137152,1447.63,9.77576
60,0.00129537,0.000460682,1499.65,12.7528
56,0.00212222,0.00116104,1523.35,79.9969
56,0.00243399,0.00100625,1716.05,5.08308
30,0.00123437,0.00017078,1478.45,67.0212
37,0.00112859,0.00011186,1511.06,50.667
50,0.00145431,0.000693264,1545.11,53.7766
28,0.00110373,1.41246e-05,1438.88,28.8749
37,0.00119296,0.000323755,1598.35,23.6166
42,0.00159225,0.000563236,1588.7,50.1038
20,0.00119601,9.91441e-05,1447.95,15.0237
66,0.00263299,0.00202506,1623.64,60.6424
34,0.00131048,0.00021845,1433.55,47.5866
54,0.003383,0.00212952,1607.88,142.201
68,0.00540293,0.00328261,1739.84,20.2146
69,0.00263943,0.00158438,1595.66,73.1135
69,0.00236878,0.0011653,1589.23,160.317
64,0.00293073,0.00160223,1502.81,83.8636
60,0.00224298,0.000915527,1546.52,41.124
42,0.00170535,0.000844802,1509.13,9.5087
21,0.00131016,9.45072e-05,1411.4,4.58641
50,0.00156674,0.000958952,1420.9,7.98934
61,0.00236976,0.0014716,1506.85,10.8432
60,0.00121987,0.000146409,1451.05,19.5716
24,0.00116422,0.000171702,1473.97,11.0467
63,0.00261872,0.00122482,1614.96,78.9735
43,0.00156049,0.000538302,1526.82,24.9814
57,0.00150125,0.000590713,1507.98,20.1666
34,0.00115684,0.000171043,1418.43,4.54213
43,0.00128537,0.000452896,1529.85,26.1525
25,0.00111543,3.81268e-05,1439.77,42.8409
46,0.00129264,0.000436004,1537.9,39.881
62,0.00417448,0.00364353,1590.05,31.2157
34,0.00124327,9.54442e-05,1415.1,30.2603
49,0.00570296,0.00474505,1554.03,165.918
34,0.00122126,9.4485e-05,1457.16,21.646
34,0.00113505,6.25736e-05,1400.65,25.0953
45,0.00130961,0.000506964,1450.62,28.7004
46,0.0015385,0.000545686,1552.75,42.4936
30,0.00134904,9.35139e-05,1399.62,17.3243
51,0.00141822,0.000383226,1470.95,14.6175
62,0.00161906,0.000735889,1529.94,8.58923
