coverage,time_mean,time_std,length_mean,length_std
67,0.029387,0.0105453,1749.67,242.334
68,0.0167295,0.008641,1681.89,56.3625
20,0.00149755,0.000459899,1459.08,9.38866
67,0.0143989,0.00546852,1879.53,141.273
55,0.00996553,0.00502252,1691.69,54.1367
61,0.00572288,0.00239268,1643.5,51.2355
64,0.0177592,0.00631785,1587.99,69.5109
39,0.00452472,0.00136958,1471.01,8.42957
60,0.0137522,0.0056719,1713.36,36.9465
53,0.00814455,0.0022555,1774.24,36.122
39,0.00410481,0.00145712,1717.58,141.836
30,0.00321173,0.00141063,1614.31,135.525
68,0.0277245,0.0111979,1855.6,15.2959
54,0.00889819,0.00340441,1715.4,94.2607
22,0.00167189,0.000570666,1435.17,35.6081
57,0.00717096,0.00232217,1805,83.4375
69,0.0329139,0.0258884,1995.39,159.49
24,0.00174131,0.00062857,1459,80.6628
32,0.00280992,0.0010106,1639.47,9.07667
69,0.0381349,0.0155377,1692.33,133.996
51,0.0064755,0.00223463,1558.96,73.0666
34,0.00409876,0.00130708,1538.17,53.8953
40,0.00383433,0.00144915,1568.23,98.9921
20,0.00175785,0.000573533,1555.25,41.3793
67,0.0105773,0.00452687,1769.69,102.338
66,0.0185482,0.00647352,1601.05,48.6503
46,0.003827,0.00130067,1529.09,24.033
58,0.0101912,0.0036444,1593.86,101.49
34,0.00309051,0.00115517,1745.4,106.958
58,0.0153732,0.00574491,1822.81,56.7684
42,0.00437154,0.00173652,1560.67,60.6385
63,0.0290191,0.0113625,1623.35,7.151
59,0.0140437,0.00478242,1773.24,34.2074
32,0.00243126,0.000852343,1586.73,31.8635
65,0.0149792,0.00482601,1856.14,79.7383
44,0.00621539,0.00231961,1649.73,133.136
38,0.0047576,0.00157757,1605.12,67.1218
46,0.00513937,0.00149654,1564.14,33.5082
61,0.0103372,0.00357783,1715.17,116.644
40,0.0024216,0.000841772,1528.45,56.8676
25,0.00203072,0.000734387,1499.33,23.2656
21,0.00137667,0.000310524,1446.94,32.7156
57,0.010576,0.00458502,1828.84,29.4585
67,0.0142029,0.00496957,1693.66,60.2999
50,0.00616984,0.00193463,1721.94,47.1113
61,0.00951519,0.00380923,1784.66,59.2193
47,0.00634873,0.00216228,1582.55,35.7899
50,0.00476848,0.00170727,1768.04,42.0267
44,0.00315146,0.00127803,1503.92,46.8555
60,0.00677334,0.00222098,1672.69,163.161
56,0.014475,0.00481677,1977.71,19.8849
56,0.00966599,0.00377063,1791.39,19.4097
30,0.00266301,0.000828432,1788.52,46.7734
37,0.00237009,0.0008568,1571.74,15.9658
50,0.005642,0.00195965,1709.79,15.3211
28,0.00203088,0.00066051,1462.86,44.8834
37,0.00357725,0.0011609,1604.34,64.7546
42,0.00615583,0.00241597,1712.44,136.972
20,0.00177658,0.00062567,1510.25,53.2728
66,0.0132999,0.00400482,1644.85,170.827
34,0.00416626,0.00135672,1661.9,61.9569
54,0.0120823,0.00457041,1783.48,7.91688
68,0.0203617,0.00732779,1830.3,221.83
69,0.0209603,0.0093508,1586.93,65.4631
69,0.0136585,0.00585623,1873.94,48.8014
64,0.0219756,0.00978423,1848.66,67.4535
60,0.0123972,0.0041385,1808.16,106.427
42,0.00328624,0.00114754,1486.52,27.2171
21,0.00165724,0.000553204,1531.09,118.563
50,0.00715497,0.00327986,1732.03,28.2596
61,0.0135124,0.00680733,1781.21,27.7733
60,0.00830998,0.00348118,1622.46,60.9559
24,0.00215368,0.00069129,1598.91,49.1886
63,0.0141966,0.00405958,1779.32,158.882
43,0.00483856,0.00190077,1542.48,16.0357
57,0.00560477,0.0021733,1595.56,22.3557
34,0.00362169,0.00129742,1616.13,123.384
43,0.00565191,0.00234915,1778.86,96.756
25,0.00214568,0.00063768,1618.35,20.222
46,0.00537254,0.00227116,1575,25.1879
62,0.0154551,0.00819282,1607.92,31.7606
34,0.00312511,0.000973252,1511.42,132.032
49,0.0146016,0.00581134,1719.39,89.9516
34,0.00331198,0.00103186,1574.41,171.264
34,0.0030123,0.000980387,1468.42,58.1574
45,0.00636237,0.00264278,1636.41,127.6
46,0.00630953,0.00206472,1928.28,62.8616
30,0.00173688,0.000608493,1465.85,76.1876
51,0.00977392,0.0036383,1740.86,98.701
62,0.00972305,0.00434057,1588.7,79.923
