coverage,time_mean,time_std,length_mean,length_std
67,0.00847853,0.00698453,1548.21,129.755
68,0.00401124,0.00379309,1608.92,9.56722
20,0.000536956,0.000233004,1449.75,32.8467
67,0.00611145,0.00298324,1593.14,110.783
55,0.0277325,0.0463183,1696.46,35.3132
61,0.00246521,0.00211199,1564.39,21.4929
64,0.00582369,0.0042303,1561.71,66.2893
39,0.00080918,0.000413688,1501.27,115.195
60,0.0018214,0.00140853,1486.81,84.9856
53,0.0021634,0.00167287,1616.76,45.9525
39,0.00329959,0.00340495,1513.31,20.4895
30,0.0012056,0.000821035,1460.45,20.5992
68,0.0169531,0.0151741,1600.47,66.2313
54,0.00221934,0.000973455,1270.07,101.912
22,0.000483319,0.000196337,1406.54,13.7604
57,0.00139287,0.000960481,1461.07,2.41638
69,0.011339,0.0095137,1854.87,42.7793
24,0.00046968,0.00019402,1418.4,1.28248
32,0.000745617,0.000448602,1440.53,35.6137
69,0.00784786,0.00659164,1503.05,69.8638
51,0.00144756,0.00145256,1536.88,39.1647
34,0.000877876,0.000559346,1459.05,28.3534
40,0.000710364,0.000466779,1489.05,57.8808
20,0.000648811,0.000535123,1484.43,8.08956
67,0.00360976,0.00301693,1561.72,23.5957
66,0.0040653,0.00239737,1592.11,12.0383
46,0.000795679,0.000513668,1543.51,25.2796
58,0.00142718,0.00115171,1496.82,30.8328
34,0.00510074,0.0132724,1548.36,23.1942
58,0.00611165,0.00530257,1669.33,8.93023
42,0.00140703,0.000816772,1496.33,14.7565
63,0.0099332,0.00701498,1617.3,88.8799
59,0.00235682,0.00176947,1608.64,19.7198
32,0.000548042,0.000261551,1429.09,18.9733
65,0.00421291,0.00275096,1625.04,26.7882
44,0.00121657,0.000826131,1488.95,52.654
38,0.000723165,0.000426637,1426.51,13.4761
46,0.000621863,0.000345925,1506.19,42.0538
61,0.00246034,0.00179905,1566.07,14.3597
40,0.000464235,0.000219325,1407.61,14.3159
25,0.000641332,0.000265927,1489.99,17.0509
21,0.000422482,0.000159892,1433.67,24.0802
57,0.00303626,0.00192949,1689.27,46.7717
67,0.00174897,0.00140076,1654.19,31.5108
50,0.00166703,0.000839522,1480.45,62.7134
61,0.00203379,0.00105121,1591.33,25.5879
47,0.00131383,0.000958223,1495.07,43.4124
50,0.00121045,0.000689176,1496.4,36.3066
44,0.00188356,0.00324831,1501.63,61.2037
60,0.00107268,0.000966458,1498.76,10.7877
56,0.00255999,0.00185381,1509.9,56.4467
56,0.00355845,0.00221421,1723.22,24.1316
30,0.000540053,0.000248532,1434.81,4.11539
37,0.000786091,0.000285752,1513.84,49.0431
50,0.00170257,0.000992946,1567.58,33.0231
28,0.000511961,0.000265686,1433.65,29.5906
37,0.00123752,0.000590008,1608.46,28.4173
42,0.0018512,0.000906915,1521.93,72.2197
20,0.00071991,0.000279107,1430.32,26.8615
66,0.0030929,0.00207,1621.43,49.3054
34,0.000907291,0.000481926,1425.29,20.0625
54,0.00542946,0.00510421,1546.86,64.0442
68,0.00883774,0.00475587,1763.64,81.365
69,0.00333181,0.00262183,1546.8,33.5296
69,0.00368204,0.0024421,1521.4,25.4667
64,0.00460817,0.003847,1529.19,9.40689
60,0.00280625,0.00144066,1541.63,47.0398
42,0.00158929,0.00147551,1474.12,9.00789
21,0.000617237,0.000257069,1418.14,13.5796
50,0.0010062,0.00162875,1449.31,23.5856
61,0.00287079,0.00234115,1523.64,43.2721
60,0.000770566,0.000476906,1445.53,32.977
24,0.000682346,0.000356132,1472.72,21.9577
63,0.00374197,0.0022771,1564.83,46.8735
43,0.00166745,0.00100186,1476.27,53.2046
57,0.00145317,0.00115223,1525.91,40.6641
34,0.000700623,0.000297581,1450.59,49.7378
43,0.00143218,0.000787818,1528.56,31.9147
25,0.000489647,0.000215578,1446.1,36.802
46,0.00118001,0.00108468,1597.74,24.0083
62,0.00765872,0.00669053,1648.9,198.291
34,0.000500709,0.000229362,1413.87,15.2479
49,0.00779117,0.00705093,1515.93,55.8883
34,0.000683516,0.000309369,1443.98,28.3858
34,0.000485207,0.000215234,1405.43,52.3803
45,0.00147319,0.000966047,1451.17,0.726958
46,0.00172596,0.000913978,1584.8,55.6351
30,0.000433103,0.00019194,1426.49,21.6994
51,0.00147824,0.00127184,1480.02,49.0056
62,0.00194184,0.00146894,1529.45,6.54632
