coverage,time_mean,time_std,length_mean,length_std
67,0.00903954,0.00772303,1693.74,193.641
68,0.00271916,0.0024077,1655.81,27.376
20,0.000484652,0.000121777,1451.13,13.7906
67,0.00503861,0.00301062,1653.65,176.181
55,0.00253872,0.00522928,1694.13,33.0312
61,0.00111815,0.000468748,1677.23,15.4884
64,0.00513292,0.003772,1597.25,95.5873
39,0.000954205,0.000339421,1507.93,44.2285
60,0.00315342,0.00220649,1501.68,50.1451
53,0.00182088,0.000927682,1623.43,57.0353
39,0.00080271,0.000311153,1547.66,47.3938
30,0.000711156,0.000280945,1480.98,43.8225
68,0.0141835,0.0111047,1824.72,84.2996
54,0.00150111,0.000708881,1553,7.83254
22,0.000628445,0.000227736,1406.12,21.5408
57,0.00202308,0.00120622,1644.92,61.3248
69,0.00848963,0.00742418,1767.72,25.7605
24,0.000505255,0.000154454,1420.93,4.6763
32,0.000673721,0.000207431,1533.76,69.9388
69,0.00834799,0.00837823,1633.09,35.7552
51,0.000832791,0.000515564,1584.91,12.3526
34,0.00105226,0.000387866,1593.45,31.7986
40,0.00074277,0.000246427,1489.42,38.8798
20,0.000679445,0.000241067,1492.77,40.2422
67,0.00184931,0.00136084,1645.53,36.764
66,0.0041154,0.00311693,1737.74,137.324
46,0.00079119,0.000245277,1531.82,38.7229
58,0.0023651,0.00111673,1536.07,45.3687
34,0.00127162,0.00172513,1685.27,13.5475
58,0.00494204,0.00367923,1811.86,38.1864
42,0.000980409,0.000376406,1571.42,63.1901
63,0.00760611,0.00967834,1596.77,40.5717
59,0.00382923,0.00267753,1748.78,16.7224
32,0.000626386,0.00020527,1502.09,32.7752
65,0.0037725,0.00278417,1844.81,61.2034
44,0.0010636,0.000428051,1487,68.3078
38,0.00100799,0.000352729,1569.95,96.2668
46,0.00117975,0.000442794,1524.91,43.5858
61,0.00152597,0.000772651,1790.76,61.8435
40,0.000601501,0.000188833,1408.82,15.7536
25,0.00065974,0.000250059,1496.89,18.2354
21,0.000449687,0.00015976,1416.45,4.38958
57,0.00190536,0.000701442,1727.44,43.3074
67,0.00308066,0.00156138,1766.81,5.56486
50,0.00121096,0.000554222,1667.28,85.6422
61,0.00137676,0.000901577,1785.22,31.2834
47,0.00143624,0.000791716,1536.5,32.3118
50,0.000838209,0.000293491,1610.67,90.8327
44,0.000804592,0.000451839,1574.93,46.7516
60,0.00170343,0.000928546,1596.56,25.9888
56,0.00176638,0.00107575,1788.43,69.7502
56,0.00270266,0.00237391,1711.8,18.4281
30,0.000667767,0.000196416,1443.99,32.019
37,0.000791906,0.000293833,1558.64,13.8835
50,0.00120313,0.000593607,1679.17,77.6732
28,0.000533934,0.000200051,1469.53,28.2317
37,0.000946073,0.000357769,1581.94,13.5358
42,0.00129485,0.000634702,1686.46,21.306
20,0.000591297,0.0001873,1491.68,41.7809
66,0.00332601,0.00374573,1608.49,6.56998
34,0.000926698,0.000407355,1461.63,60.4706
54,0.00508029,0.00603156,1796.68,96.8798
68,0.00855115,0.00622516,1843.61,77.1752
69,0.00448974,0.00365534,1551.17,71.6675
69,0.00214112,0.00106218,1579.67,52.9449
64,0.00406053,0.00403606,1842.4,24.6345
60,0.00270908,0.00150994,1720.42,192.714
42,0.000764053,0.000343877,1494.95,27.9203
21,0.000734228,0.000229072,1421.37,29.6331
50,0.00122615,0.000653466,1695.41,36.1537
61,0.00185706,0.00172477,1715.92,4.48255
60,0.00133097,0.000749054,1450.19,14.5504
24,0.000646131,0.000201232,1478.39,25.0398
63,0.00338922,0.00177583,1650.59,86.1888
43,0.000916175,0.00042291,1537.68,36.5657
57,0.00128702,0.000587922,1623.67,35.2577
34,0.000709715,0.000229617,1494.71,7.28173
43,0.000863937,0.00031789,1578.52,41.2695
25,0.000706399,0.000253094,1485.11,18.6827
46,0.000967108,0.000771797,1581.49,57.6317
62,0.00438233,0.00401997,1567.3,31.5078
34,0.000777095,0.000263308,1528.48,100.326
49,0.00815031,0.015534,1781.5,45.6137
34,0.000858115,0.000323481,1482.42,56.7809
34,0.000630195,0.000249301,1391.35,9.41955
45,0.00165587,0.00104215,1508.36,104.737
46,0.00159411,0.000730792,1569.41,102.274
30,0.000556002,0.000188993,1444.42,64.4452
51,0.0018953,0.00114569,1456.6,3.20724
62,0.00163776,0.00117505,1537.82,45.7189
