coverage,time_mean,Nan,length_mean,Nan
67,0.00732454,Nan,1547.44,Nan
68,0.00665492,Nan,1516.4,Nan
20,0.0160419,Nan,1476.61,Nan
67,0.010818,Nan,1694.33,Nan
55,0.0110618,Nan,1712.25,Nan
61,0.0113711,Nan,1677.26,Nan
64,0.00960211,Nan,1585.04,Nan
39,0.0136616,Nan,1530.26,Nan
60,0.012037,Nan,1530.73,Nan
53,0.0136195,Nan,1650.87,Nan
39,0.0124333,Nan,1620.87,Nan
30,0.014158,Nan,1541.49,Nan
68,0.0120339,Nan,1729.54,Nan
54,0.0097637,Nan,1429.33,Nan
22,0.0128511,Nan,1450.16,Nan
57,0.0132945,Nan,1627.08,Nan
69,0.0186186,Nan,1886.06,Nan
24,0.0156627,Nan,1475.11,Nan
32,0.0110104,Nan,1600.58,Nan
69,0.00977868,Nan,1527.76,Nan
51,0.0105215,Nan,1595.13,Nan
34,0.0126886,Nan,1597.66,Nan
40,0.0102327,Nan,1475.72,Nan
20,0.01708,Nan,1479.68,Nan
67,0.0104303,Nan,1626.84,Nan
66,0.0102772,Nan,1666.39,Nan
46,0.00961698,Nan,1548.5,Nan
58,0.0128671,Nan,1528.9,Nan
34,0.0159377,Nan,1685.78,Nan
58,0.0157911,Nan,1780.49,Nan
42,0.0131336,Nan,1546.06,Nan
63,0.010549,Nan,1767.12,Nan
59,0.0123211,Nan,1690.78,Nan
32,0.010678,Nan,1454.87,Nan
65,0.0121517,Nan,1746.75,Nan
44,0.0128686,Nan,1727.82,Nan
38,0.0122256,Nan,1578.51,Nan
46,0.013274,Nan,1608.94,Nan
61,0.0110664,Nan,1632.16,Nan
40,0.0154952,Nan,1469.4,Nan
25,0.0171889,Nan,1538.1,Nan
21,0.0174098,Nan,1432.17,Nan
57,0.0117494,Nan,1782.18,Nan
67,0.0104814,Nan,1666.54,Nan
50,0.0125517,Nan,1697.17,Nan
61,0.0115895,Nan,1692.85,Nan
47,0.0109115,Nan,1601.06,Nan
50,0.013712,Nan,1699.74,Nan
44,0.0130135,Nan,1725.29,Nan
60,0.0152328,Nan,1563.01,Nan
56,0.0145809,Nan,1577.92,Nan
56,0.013662,Nan,1706.11,Nan
30,0.0143967,Nan,1575.55,Nan
37,0.0139511,Nan,1616.05,Nan
50,0.0107367,Nan,1620.13,Nan
28,0.0137623,Nan,1453.9,Nan
37,0.0145269,Nan,1673.28,Nan
42,0.0129064,Nan,1604.16,Nan
20,0.0149053,Nan,1509.81,Nan
66,0.0123876,Nan,1619.2,Nan
34,0.0144098,Nan,1583.68,Nan
54,0.0144994,Nan,1588.62,Nan
68,0.0142724,Nan,1797.74,Nan
69,0.00990365,Nan,1605.59,Nan
69,0.00993091,Nan,1646.98,Nan
64,0.00827063,Nan,1561.63,Nan
60,0.00994849,Nan,1632.03,Nan
42,0.01054,Nan,1513.2,Nan
21,0.0164241,Nan,1449.48,Nan
50,0.0135296,Nan,1524.4,Nan
61,0.00966572,Nan,1649.84,Nan
60,0.00739408,Nan,1475.79,Nan
24,0.0158661,Nan,1524.57,Nan
63,0.0141708,Nan,1753.95,Nan
43,0.0100908,Nan,1595.34,Nan
57,0.0126817,Nan,1578.3,Nan
34,0.015747,Nan,1563.54,Nan
43,0.0139528,Nan,1604.54,Nan
25,0.0169235,Nan,1524.47,Nan
46,0.013359,Nan,1598.38,Nan
62,0.0136595,Nan,1654.67,Nan
34,0.01678,Nan,1466.11,Nan
49,0.0110691,Nan,1542.93,Nan
34,0.0151625,Nan,1507.41,Nan
34,0.0172005,Nan,1466.61,Nan
45,0.012764,Nan,1525.23,Nan
46,0.0156099,Nan,1604.08,Nan
30,0.022645,Nan,1478.16,Nan
51,0.011127,Nan,1473.15,Nan
62,0.0138205,Nan,1587.3,Nan
